energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
174.5,0.9,0.16,0.08121576201698781,,1757.9,,1583.90,[D E2],,,1.2,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
176.6,0.9,0.08,0.08030566605165541,,2047.5,,1871.0,[D E2],,,1.2,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
263,0.1,39.2,5.26924093205084,,1583.90,,1320.90,[E2],,,0.189,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
287.1,0.2,0.16,0.08121576201698781,,1871.0,,1583.90,[D E2],,,0.32,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
385.7,0.1,80,10.041912168506554,,1320.90,,935.20,[E2],,,0.0619,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
418.3,0.5,4.8,1.6542067585401772,,2002.2,,1583.90,[D E2],,,0.12,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
425.5,0.1,85.6,10.959019116691055,,935.20,,509.70,[E2],,,0.0478,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
437,0.2,3.2,1.6243152403397563,,1757.9,,1320.90,[D E2],,,0.10,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
463.5,0.6,4.8,1.6542067585401772,,2047.5,,1583.90,[D E2],,,0.09,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
509.7,0.1,96.8,12.213963320724359,,509.70,185.82,0.0,[E2],,,0.0307,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
537.8,0.1,8,1.746424919657298,,1858.70,,1320.90,[D E2],,,0.06,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
702.9,0.3,6.72,1.7046242987825793,,2286.8,,1583.90,[D E2],,,0.030,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
13.292,,6.12323796864,0.3914740179094797,,,,,,,,,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
76.862,,3.2003468947155262,0.2135979251002721,,,,,,,,,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
79.29,,5.329470265970901,0.3550074474715252,,,,,,,,,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
89.837,,1.8347890460057763,0.12512240061235497,,,,,,,,,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
90.941,,2.4054084393135726,0.1637787325306813,,,,,,,,,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
92.315,,0.5706193933077964,0.03997984520424978,,,,,,,,,,83,135,Bi,,0,,(6- 7- 8-),33,,1,s,33,1,B-,100,,4859,27,84,134,Po,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24

