energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
23,,,,,48,,25,(M1+E2),,,8E+3,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
25,,,,,25,,0,M1+E2,,,5E+3,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
48,,,,,48,,0,E2,,,725,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
130,,3.48,0.7564548896001664,,178,,48,M1,,,4.00,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
153,,2.31,0.21497906874856446,,178,,25,M1,,,11.32,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
164,,0.36,0.0758946638440411,,212,,48,[M1],,,9.30,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
178,,6,0.4,,178,,0,M1+E2,0.44,8,6.47,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
186.8,,0.18,0.03794733192202055,,212,,25,[M1],,,6.44,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
19.579,,35.4675509706,2.5103575020614626,,,,,,,,,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
109.867,,15.36101660678058,0.961060764757605,,,,,,,,,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
115.063,,23.771303941164625,1.484403588268277,,,,,,,,,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
129.671,,9.0616140501879,0.6016030959057582,,,,,,,,,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
131.332,,12.287548652054795,0.814514621324955,,,,,,,,,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
133.529,,3.2259346018668924,0.21891073725620236,,,,,,,,,,97,154,Bk,,0,,(3/2-),56,,1,m,3360,60,B-,100,,1093,10,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24

