energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
117.4,0.2,19,4.111265012134343,,117.45,1.286,0,(M1),,,0.0832,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
237.4,0.2,5.624,1.2757276355084575,0.000000022,354.85,,117.45,(E2),,,0.0388,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
242,0.2,11.4,2.8408449447303523,,359.46,,117.45,(M1(+E2)),,,0.024,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
349.9,0.5,0.684,0.4241898160022233,,710.10,,359.46,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
359.4,0.2,0.703,0.19897989848223363,,359.46,1.286,0,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
446,0.2,1.292,0.3212864765283469,,805.40,,359.46,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
592.7,0.4,2.014,0.6510084484858857,,710.10,,117.45,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
629,1,0.19,0.04,,,,,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
669.5,0.3,0.646,0.1658945448168806,,1029.0,,359.46,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
687.9,0.2,1.007,0.22521101216414796,,805.40,,117.45,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
710.2,0.2,3.743,0.8590157158050137,,710.10,1.286,0,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
966.4,0.7,1.14,0.796994353806851,,1325.9,,359.46,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
977.6,0.6,1.33,0.8099382692526635,,1337.1,,359.46,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1142,1,0.19,0.04,,,,,,,,,,35,58,Br,,0,,(5/2-),102,,10,ms,0.102,0.01,B-,100,,11250,430,36,57,Kr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
