energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
977.02,0.02,0.000024,,,7300.83,,6323.78,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
1011.75,0.04,0.0018,0.0004,,8312.62,,7300.83,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
1157.52,0.04,0.0005,0.0003,,8312.62,,7155.05,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
1416.28,0.12,0.00047,0.0001,,8571.40,,7155.05,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
1748.77,0.07,0.00041,0.00014,,9049.71,,7300.83,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
1884.77,0.02,0.001,0.0003,,7155.05,,5270.155,[M1+E2],0.014,14,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
1988.7,0.04,0.0018,0.0005,,8312.62,,6323.78,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
2001.86,0.02,0.000019,0.00001,,7300.83,,5298.822,[M1+E2],,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
2030.53,0.02,0.000058,0.000012,,7300.83,,5270.155,[M1+E2],,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
2247.44,0.12,0.00018,0.00008,,8571.40,,6323.78,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
2725.66,0.07,0.0015,0.0004,,9049.71,,6323.78,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
3013.47,0.03,0.0041,0.001,,8312.62,,5298.822,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
3042.13,0.03,0.0014,,,8312.62,,5270.155,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
3300.85,0.12,0.0084,0.0014,,8571.40,,5270.155,[M1+E2],0.091,7,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
3779.04,0.07,0.0012,0.0004,,9049.71,,5270.155,,,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
5269.161,0.014,0.0037,0.0009,,5270.155,,0,[M2+E3],-0.131,13,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
5297.817,0.014,63.2,0.8,,5298.822,,0,[E1],,,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
6322.35,0.02,0.0055,0.002,,6323.78,,0,[M1+E2],-0.132,4,,,6,9,C,,0,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,9771.7,8,7,8,N,1-Jul-1990,F. AJZENBERG-SELOVE,2025-02-24
