energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1130,,,,,3944,,2814,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
1312,,,,,4126,,2814,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
1573,,,,,4095,,2522.3,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
1952,,,,,4474,,2522.3,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
2522.2,0.3,0.0025,0.0003,,2522.34,,0,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
2814,,,,,2814,,0,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
3019,,,,,3019,,0,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
3597,,,,,3597,,0,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
3883,,,,,3883,,0,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
3938,,,,,3939,,0,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
4082,,,,,4082,,0,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
511,,199.85758,,,,,,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
0.311,,0.00022,0.00004,,,,,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
3.311,,0.00297,0.00008,,,,,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
3.314,,0.00587,0.00017,,,,,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
3.591,,0.00108,0.00004,,,,,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24
3.591,,0.00108,0.00004,,,,,,,,,,20,19,Ca,,0,,3/2+,860.3,,10,ms,0.8603,0.001,EC+B+,100,,6524.5,6,19,20,K,1-Jan-2018,JUN CHEN,2025-02-24

