energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
35.57,0.06,0.421,0.003,0.00000000091,864.14,0.00000000578,828.59,M1+E2,-0.193,24,12.1,,48,67,Cd,,0,,1/2+,53.46,,5,h,192456,180,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
105.2,0.025,0.00442,0.0015574366760802828,0.000000000057,933.838,0.00000000578,828.608,E2,,,1.290,,48,67,Cd,,181,0.5,(11/2)-,44.56,,24,d,3849984,20736,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
136.3,,0.0000004,0.00000014,,1078.17,,941.429,,,,,,48,67,Cd,,181,0.5,(11/2)-,44.56,,24,d,3849984,20736,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
158.027,0.02,0.01702,0.0059597188692085135,,1290.596,,1132.578,M1+E2,0.02,1,0.144,,48,67,Cd,,181,0.5,(11/2)-,44.56,,24,d,3849984,20736,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
231.44,0.02,0.00088,0.00031378973851928303,0.00000000578,828.608,0.00000000025,597.151,E1,,,0.01639,,48,67,Cd,,181,0.5,(11/2)-,44.56,,24,d,3849984,20736,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
231.443,0.003,0.74,0.01,0.00000000578,828.59,0.00000000025,597.14,E1,,,0.01639,,48,67,Cd,,0,,1/2+,53.46,,5,h,192456,180,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
252,1,0.00009,0.00007,,1192.50,,941.424,,,,,,48,67,Cd,,0,,1/2+,53.46,,5,h,192456,180,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
260.89,0.03,0.00092,0.00033178908963376117,0.00000000025,597.151,16149.6,336.253,M1+E2,-0.09,6,0.0379,,48,67,Cd,,181,0.5,(11/2)-,44.56,,24,d,3849984,20736,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
260.896,0.003,1.94,0.01,0.00000000025,597.14,16149.6,336.24,M1+E2,-0.09,6,0.0376,,48,67,Cd,,0,,1/2+,53.46,,5,h,192456,180,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
266.985,0.01,0.092,0.003,0.00000000091,864.14,0.00000000025,597.14,[E1],,,0.01112,,48,67,Cd,,0,,1/2+,53.46,,5,h,192456,180,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
316.201,0.017,0.00248,0.0008737413805011183,,1448.786,,1132.578,M1,,,0.023,,48,67,Cd,,181,0.5,(11/2)-,44.56,,24,d,3849984,20736,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
328.38,0.1,0.0033,0.0005,,1192.50,0.00000000091,864.14,,,,,,48,67,Cd,,0,,1/2+,53.46,,5,h,192456,180,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
336.241,0.025,46.02,0.2,16149.6,336.242,1.3916604354795072e22,0.0,M4,,,1.081,,48,67,Cd,,0,,1/2+,53.46,,5,h,192456,180,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
336.241,0.025,0.00494,0.0017363873415802132,16149.6,336.253,1.3916604354795072e22,0.0,M4,,,1.081,,48,67,Cd,,181,0.5,(11/2)-,44.56,,24,d,3849984,20736,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
344.2,,0.000008,0.000001,,941.424,0.00000000025,597.14,E1,,,0.00568,,48,67,Cd,,0,,1/2+,53.46,,5,h,192456,180,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
344.6,0.1,0.00004,0.000024413111231467404,,941.429,0.00000000025,597.151,[E1],,,,,48,67,Cd,,181,0.5,(11/2)-,44.56,,24,d,3849984,20736,B-,100,,1451.9,7,49,66,In,1-Sep-2012,JEAN BLACHOT,2025-02-24
