energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
57.5,,,,,57.5+X,,0.0+X,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
107,0.1,,,0.39,107.00,64.8,0.0,E3,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
125.2,,,,,182.7+X,,57.5,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
130.6,,,,,324.9,,194.4,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
132.3,,,,,,,,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
143.3,,,,,200.8+X,,57.5,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
150.3,,,,,207.8+X,,57.5,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
194.4,,,,,194.4,64.8,0.0,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
221.1,,,,,546.0,,324.9,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
230,,,,,230.0,,0,,,,,,58,67,Ce,X,0,,(7/2-),,,,,,,ECP,,,5143,196,56,68,Ba,1-Apr-2008,J. KATAKURA and  Z.D. WU,2025-02-24
240.7,,,,,,,,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
246.7,,,,,625.7,,379.0,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
293.6,,,,,,,,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
296.7,,,,,,,,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
299.6,,,,,,,,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
300.8,,,,,625.7,,324.9,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
304.6,,,,,362.1+X,,57.5,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
324.9,,,,,324.9,64.8,0.0,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
337.4,,,,,,,,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
351.7,,,,,546.0,,194.4,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
370,,,,,379.0,,9.0,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
379,,,,,379.0,64.8,0.0,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
401.4,,,,,,,,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
404.4,,,,,783.4,,379.0,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
421,,,,,651.0,,230.0,,,,,,58,67,Ce,X,0,,(7/2-),,,,,,,ECP,,,5143,196,56,68,Ba,1-Apr-2008,J. KATAKURA and  Z.D. WU,2025-02-24
459.2,,,,,1005.1,,546.0,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
491,,,,,,,,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24
575,,,,,1226.0,,651.0,,,,,,58,67,Ce,X,0,,(7/2-),,,,,,,ECP,,,5143,196,56,68,Ba,1-Apr-2008,J. KATAKURA and  Z.D. WU,2025-02-24
810.7,,,,,1005.1,,194.4,,,,,,58,67,Ce,,0,,(7/2-),9.7,,3,s,9.7,0.3,EC+B+,100,,7101,198,57,68,La,1-Jan-2010,J. KATAKURA,2025-02-24

