energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
10.9,,,,,40.81,,29.88,,,,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
29.9,0.2,0.24,0.03,,29.88,43548557844.93696,0.0,[M1+E2],0.124,4,361,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
40.8,0.3,0.0019,0.0004,,40.81,43548557844.93696,0.0,[M2],,,6.45E3,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
41.7,,,,,71.60,,29.88,,,,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
42,0.2,0.181,0.024,,82.81,,40.81,[M1+E2],0.13,2,117,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
53.9,,,,,125.5,,71.60,,,,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
71.6,,,,,71.60,43548557844.93696,0.0,,,,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
95.6,,,,,125.5,,29.88,,,,,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
294.1,0.1,1.02,0.11,,334.92,,40.81,M1,,,1.651,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
305.2,0.3,0.0093,0.0017,,334.92,,29.88,[E1],,,0.0430,,98,149,Cf,,0,,(7/2+),3.11,,3,h,11196,108,EC,99.965,0.005,620,15,97,150,Bk,31-Mar-2014,C. D. NESARAJA,2025-02-24
