energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
146.36,0.03,38.3,0.5,1919.4,146.36,1.5266,0.0,[M3],,,0.1656,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,IT,44.6,0.6,,,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
1176.65,0.02,14.09,0.24,,3304.212,,2127.564,M1+E2,-0.16,2,,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,EC+B+,55.4,0.6,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
1572.57,0.05,0.016,0.005,,4876.839,,3304.212,M1+E2,-0.09,4,,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,EC+B+,55.4,0.6,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
1987.19,0.03,0.185,0.007,,4114.813,,2127.564,M1+E2,-0.40,5,,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,EC+B+,55.4,0.6,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
2127.499,0.02,42.8,0.8,,2127.564,,0.0,E2,,,,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,EC+B+,55.4,0.6,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
2561.36,0.05,0.033,0.003,,4688.98,,2127.564,E2,,,,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,EC+B+,55.4,0.6,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
2749.24,0.05,0.022,0.003,,4876.839,,2127.564,M1+E2,-0.11,3,,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,EC+B+,55.4,0.6,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
3304.031,0.02,12.29,0.22,,3304.212,,0.0,E2,,,,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,EC+B+,55.4,0.6,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
4114.52,0.04,0.273,0.007,,4114.813,,0.0,E2,,,,,17,17,Cl,,146.36,0.03,3+,31.99,,3,m,1919.4,1.8,EC+B+,55.4,0.6,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
511,,199.8416,,,,,,,,,,,17,17,Cl,,0,,0+,1.5266,,4,s,1.5266,0.0004,EC+B+,100,,5491.60,7,16,18,S,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
