energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
8.77,,0.0000326,0.0000004,0.0003,8.71,28270080,0.0,[M2],,,3.07E6,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
30.85,0.01,,,,39.58,0.0003,8.71,M1+E2,0.114,24,3.1E2,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
42.98,0.01,,,,82.65,,39.58,M1+E2,0.111,21,103,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
43.7,,0.000034,0.000003,,421.18,,377.49,[E2],,,1070,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
73.82,0.01,,,,82.65,0.0003,8.71,E2,,,84.9,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
85.2,0.2,0.0054,0.0005,,643.05,,558.05,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
136.9,0.1,0.039,0.003,,558.05,,421.18,[E1],,,0.256,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
158.6,0.1,0.0029,0.0004,,569.10,,410.50,[E1],,,0.1842,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
168.8,0.2,0.0022,0.0002,,558.05,,389.12,[E1],,,0.1599,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
180.5,0.1,0.02,0.0014,,558.05,,377.49,[E1],,,0.1373,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
191.6,0.1,0.01,0.0009,,569.10,,377.49,[E1],,,0.1199,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
368.76,0.06,0.35,0.023,,377.49,0.0003,8.71,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
389,0.2,0.0063,0.0008,,389.12,28270080,0.0,M1,,,0.764,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
402,0.1,,,,410.50,0.0003,8.71,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
421.3,0.2,0.0092,0.001,,421.18,28270080,0.0,[M1 E2],,,0.35,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
475.4,0.2,0.0072,0.0012,,558.05,,82.7,[E2],,,0.0705,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
518.5,0.1,0.088,0.006,,558.05,,39.58,[M1 E2],,,0.20,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
529.5,0.2,0.007,0.0008,,569.10,,39.58,[E2],,,0.0545,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
549.4,0.1,0.03,0.005,,558.05,0.0003,8.71,[M1 E2],,,0.17,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
560.4,0.1,0.84,0.06,,569.10,0.0003,8.71,(M1+E2),0.75,20,0.198,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
603.4,0.2,0.0064,0.0009,,643.05,,39.58,[E2],,,0.0406,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
621.9,0.1,0.18,0.013,,661.50,,39.58,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
634.3,0.1,1.5,0.1,,643.05,0.0003,8.71,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
652.8,0.1,0.14,0.01,,661.50,0.0003,8.71,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
19.075,,0.103943275719192,,,,,,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
107.218,,0.04720082107268595,0.007405728422614481,,,,,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
112.15,,0.07347574886781748,0.011524673077908195,,,,,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
126.449,,0.027718178176880773,0.004381353652179511,,,,,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
128.067,,0.03753041325149657,0.005930733752508981,,,,,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24
130.195,,0.009812235074615793,0.001557178837296578,,,,,,,,,,96,153,Cm,,0,,1/2+,64.15,,3,m,3849,1.8,B-,100,,904.4,26,97,152,Bk,12-Oct-2023,C.D. Nesaraja,2025-02-24

