energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
261.4,0.2,64,5,,261.41,0.382,0.0,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,ECP,70.5,0.7,12742,126,25,24,Mn,14-Jul-2008,T. W. Burrows{+a},2025-02-24
482.2,0.1,23.5,0.7,,1540.8,,1058.6,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,ECP,70.5,0.7,12742,126,25,24,Mn,14-Jul-2008,T. W. Burrows{+a},2025-02-24
764.8,0.3,24,4,,764.8,,0.0,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24
797.3,0.3,27,4,,1058.6,,261.41,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,ECP,70.5,0.7,12742,126,25,24,Mn,14-Jul-2008,T. W. Burrows{+a},2025-02-24
939.5,0.7,1.6,0.4,,2480.3,,1540.8,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,ECP,70.5,0.7,12742,126,25,24,Mn,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1058.7,0.7,2.4,0.4,,1058.6,0.382,0.0,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,ECP,70.5,0.7,12742,126,25,24,Mn,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1086.6,0.7,11,5,,1851.4,,764.8,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24
1278.4,0.7,16,5,,1540.8,,261.41,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,ECP,70.5,0.7,12742,126,25,24,Mn,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1307.8,0.5,15,3,,3159.2,,1851.4,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24
511,,114.2,,,,,,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24
0.728,,0.0003218241954,0.00003683313985787699,,,,,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24
6.391,,0.0036462838836485052,0.0002217657052327228,,,,,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24
6.404,,0.007139776549145301,0.00043282985435212293,,,,,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24
7.082,,0.0014755330672061927,0.0000906830115641047,,,,,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24
7.082,,0.0014755330672061927,0.0000906830115641047,,,,,,,,,,27,23,Co,,0,,(6+),38.8,,2,ms,0.0388,0.0002,EC+B+,100,,16887,126,26,24,Fe,15-Apr-2019,Jun Chen and Balraj Singh,2025-02-24

