energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
112.31,0.08,96,2,,420.55,0.00000000711,308.24,M1+E2,0.016,22,0.0154,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24
308.24,0.06,100,2,0.00000000711,308.24,1380153.6,0.0,E2,,,0.0059,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24
420.5,,0.03,,,420.55,1380153.6,0.0,,,,,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24
511,,2.94,,,,,,,,,,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24
0.536,,0.548566706268,0.10854670172172755,,,,,,,,,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24
4.945,,6.673840262903365,0.19548571850492813,,,,,,,,,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24
4.952,,13.129727056666074,0.37912694015320475,,,,,,,,,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24
5.444,,2.6417958804305632,0.08248586809751977,,,,,,,,,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24
5.444,,2.6417958804305632,0.08248586809751977,,,,,,,,,,24,24,Cr,,0,,0+,21.56,,3,h,77616,108,EC+B+,100,,1657,7,23,25,V,30-Nov-2021,JUN CHEN,2025-02-24

