energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
6.55,0.05,0.00023,0.000015,0.000000072,6.57,115416,0.0,E2,,,4.32E+5,,55,74,Cs,,575.4,0.14,(11/2-),0.718,,21,us,0.000000718,0.000000021,IT,100,,,,55,74,Cs,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
39.578,0.004,2.9682,0.1887306281449834,0.00000000097,39.578,,0.0,M1+E2,-0.027,5,12.03,,55,74,Cs,,0,,1/2+,32.06,,6,h,115416,216,EC+B+,100,,1197,5,54,75,Xe,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
53.2,0.1,0.0789,0.010939396692688313,0.00000000226,188.94,,135.58,E2,,,18.6,,55,74,Cs,,575.4,0.14,(11/2-),0.718,,21,us,0.000000718,0.000000021,IT,100,,,,55,74,Cs,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
73.2,0.1,,,,209.08,,135.58,[M1 E2],,,4.0,,55,74,Cs,,575.4,0.14,(11/2-),0.718,,21,us,0.000000718,0.000000021,IT,100,,,,55,74,Cs,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
85.1,0.1,,,,220.75,,135.58,[M1 E2],,,2.4,,55,74,Cs,,575.4,0.14,(11/2-),0.718,,21,us,0.000000718,0.000000021,IT,100,,,,55,74,Cs,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
89.79,0.08,0.002448,0.0006269290230959163,0.000000000081,411.496,0.000000000044,321.711,[E2],,,2.65,,55,74,Cs,,0,,1/2+,32.06,,6,h,115416,216,EC+B+,100,,1197,5,54,75,Xe,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
93.329,0.003,0.65178,0.04059869086559319,0.000000000081,411.496,0.0000000000675,318.179,[M1 E2],,,1.7,,55,74,Cs,,0,,1/2+,32.06,,6,h,115416,216,EC+B+,100,,1197,5,54,75,Xe,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
129.14,0.09,0.8942,0.11055785815580907,,135.58,0.000000072,6.57,M1+E2,0.20,5,0.449,,55,74,Cs,,575.4,0.14,(11/2-),0.718,,21,us,0.000000718,0.000000021,IT,100,,,,55,74,Cs,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
135.61,0.09,0.12624,0.02158058386605886,,135.58,115416,0.0,[M1 E2],,,0.51,,55,74,Cs,,575.4,0.14,(11/2-),0.718,,21,us,0.000000718,0.000000021,IT,100,,,,55,74,Cs,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
149.05,0.08,52.6,3.304073243740217,0.000000718,575.45,,426.49,(E1),,,0.0722,,55,74,Cs,,575.4,0.14,(11/2-),0.718,,21,us,0.000000718,0.000000021,IT,100,,,,55,74,Cs,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
