energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
101.1,0.3,7.5,1.4,33,101.1,44.5,0.0,[M3],,,5.35,,29,41,Cu,,101.1,0.3,3-,33,,2,s,33,2,IT,48,9,,,29,41,Cu,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
141.3,0.3,5.8,0.8,6.6,242.4,33,101.1,[M2],,,0.168,,29,41,Cu,,242.6,0.5,1+,6.6,,2,s,6.6,0.2,IT,6.8,0.9,,,29,41,Cu,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
185.85,0.03,2.9172,0.1768,0.0000000039,1070.80,0.00000000000365,884.95,[E2],,,0.0634,,29,41,Cu,,242.6,0.5,1+,6.6,,2,s,6.6,0.2,B-,93.2,0.9,6588.4,22,30,40,Zn,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
208.75,0.07,5.1,1,,3246.81,0.00000000000104,3038.23,[E1],,,0.00653,,29,41,Cu,,101.1,0.3,3-,33,,2,s,33,2,B-,52,9,6588.4,22,30,40,Zn,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
387.1,0.05,5,1,,3246.81,0.000000000000201,2859.60,[E1],,,1.14E-3,,29,41,Cu,,101.1,0.3,3-,33,,2,s,33,2,B-,52,9,6588.4,22,30,40,Zn,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
438.2,0.2,1.4,0.08207313811473277,,3476.68,0.00000000000104,3038.30,,,,,,29,41,Cu,,0,,6-,44.5,,2,s,44.5,0.2,B-,100,,6588.4,22,30,40,Zn,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
553.2,0.1,2.7,0.6,,3246.81,0.00000000000028,2693.50,,,,,,29,41,Cu,,101.1,0.3,3-,33,,2,s,33,2,B-,52,9,6588.4,22,30,40,Zn,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
560.82,0.08,1.03,0.08122462680739137,,3599.12,0.00000000000104,3038.30,,,,,,29,41,Cu,,0,,6-,44.5,,2,s,44.5,0.2,B-,100,,6588.4,22,30,40,Zn,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
584.7,0.1,0.83,0.0774741247127065,,4061.42,,3476.68,,,,,,29,41,Cu,,0,,6-,44.5,,2,s,44.5,0.2,B-,100,,6588.4,22,30,40,Zn,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
708.42,0.07,9.4,1.8,,3246.81,0.00000000000021,2538.44,[E2],,,7.12E-4,,29,41,Cu,,101.1,0.3,3-,33,,2,s,33,2,B-,52,9,6588.4,22,30,40,Zn,1-Jul-2016,G. G~URDAL and  E.A. MCCUTCHAN,2025-02-24
