energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
39.7,,,,,,,,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
108.1,0.1,,,,X+108,,X,(M1),,,1.76,,66,79,Dy,,0,,(1/2+),6,,2,s,6,2,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
145.1,0.1,,,,253+X,,X+108,(E2),,,0.686,,66,79,Dy,,0,,(1/2+),6,,2,s,6,2,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
184.5,0.1,,,,438+X,,253+X,(E2),,,0.300,,66,79,Dy,,0,,(1/2+),6,,2,s,6,2,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
253.1,0.1,,,,253+X,,X,(M1),,,0.1640,,66,79,Dy,,0,,(1/2+),6,,2,s,6,2,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
437.7,0.2,,,,438+X,,X,(E2),,,0.0208,,66,79,Dy,,0,,(1/2+),6,,2,s,6,2,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
578.2,,13,5,,578.2+Y,30.9,0+Y,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
639.6,,12.09,4.6499999999999995,,639.6+Y,30.9,0+Y,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
804.3,,10.01,3.85,,804.3+Y,30.9,0+Y,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
511,,182,,,,,,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
7.118,,1.433620668,0.16376679880049028,,,,,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
43.743,,2.0631892665565017,0.2529727606904807,,,,,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
44.481,,3.699460761263227,0.45329682515869685,,,,,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
50.494,,1.1813661415252361,0.145305156942339,,,,,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
51.04,,1.487339972180272,0.1828438063939292,,,,,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
51.699,,0.30597383065503614,0.03809476720191952,,,,,,,,,,66,79,Dy,,118.2,0.2,(11/2-),14.1,,7,s,14.1,0.7,EC+B+,100,,8157,111,65,80,Tb,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24

