energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
141.6,0.4,3.72,0.8018703137041551,,141.6,2.2,0.0,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
243.8,0.4,6.2,1.3364505228402583,,243.8,2.2,0.0,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
268.7,0.5,1.24,0.4045985664828782,,512.5,,243.8,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
287.5,0.5,1.86,0.498196748283246,,429.1,,141.6,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
315.2,0.4,6.014,1.333595515889282,,315.2,2.2,0.0,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
383,1,1.488,0.5345091205957107,,524.6,,141.6,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
609.5,0.3,5.022,1.1167779546534755,,609.5,2.2,0.0,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
924.9,0.4,2.046,0.6102433940650238,,924.9,2.2,0.0,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
1027.3,0.4,1.736,0.5664379930760295,,1636.8,,609.5,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
1311.8,0.3,7.812,1.7743077523361048,,1311.8,2.2,0.0,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24
2121.8,0.5,0.992,0.37331488049634454,,2121.8,2.2,0.0,,,,,,68,80,Er,,0,,0+,4.6,,2,s,4.6,0.2,EC+B+,100,,6512,84,67,81,Ho,1-Oct-2013,N. NICA,2025-02-24

