energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
23,,,,,48.0,,24.9,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
24.8,,,,,24.9,,0,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
47.8,,,,,48.0,,0,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
71.5,,0.008955,0.000009,,177.6,,106.3,E2,,,107.5,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
81.2,,0.004975,0.000005,,106.3,,24.9,E2,,,58.9,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
129.8,,0.84,0.07,,177.6,,48.0,M1,,,4.01,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
152.8,,0.53,0.04,,177.6,,24.9,M1,,,11.36,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
163.8,,0.056,0.007,,211.5,,48.0,[M1],,,9.33,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
177.6,,1.29,0.11,,177.6,,0,M1+E2,0.44,8,6.69,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
19.579,,49.81800219172,,,,,,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
109.867,,19.249166225379163,,,,,,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
115.063,,29.788248569141384,,,,,,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
129.671,,11.355271567462722,,,,,,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
131.332,,15.397748245479452,,,,,,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24
133.529,,4.042476678016729,,,,,,,,,,,99,152,Es,,0,,3/2-,33,,1,h,118800,3600,EC,99.5,0.1,377,7,98,153,Cf,23-Sep-2022,C. Morse,2025-02-24

