energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.58,0.04,,,,1.58,612,0.0,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
96.4,0.1,1.84,0.09,2.7,96.45,40.7,0.0,E3,,,46.3,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,IT,87,,,,63,78,Eu,12-Oct-2022,N. NICA,2025-02-24
116,0.6,0.076,0.029,,1180.2,,1063.5,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
174.2,0.3,,,1356,175.9,,1.58,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
174.2,,0.54,0.14,1356,175.8,,1.6,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
202.3,0.3,0.17,0.06,,597.90,,395.55,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
213.5,0.3,0.12,0.06,,597.90,,384.46,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
234.6,0.3,0.057,0.017,,829.41,,594.71,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
354.4,0.3,0.14,0.05,,899.9,,545.5,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
369.5,0.2,0.3,0.09,,545.2,1356,175.8,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
369.5,0.2,1.6,0.4,,545.5,1356,175.9,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
382.9,0.2,3,0.7,,384.46,,1.58,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
384.5,0.2,5.6,1.3,,384.46,612,0.0,M1,,,0.0422,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
394,0.2,9,2,,395.55,,1.58,M1,,,0.0396,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
394,0.2,0.6,0.19,,395.60,,1.6,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
395.6,0.2,0.11,0.04,,395.60,612,0.0,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
395.6,0.2,1.6,0.4,,395.55,612,0.0,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
395.8,0.3,0.16,0.05,,990.5,,594.71,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
433.9,0.2,0.43,0.18,,829.5,,395.60,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
433.9,0.2,0.57,0.14,,829.41,,395.55,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
518.8,0.5,0.45,0.25,,1063.5,,545.2,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
593.1,0.2,3,0.7,,594.71,,1.58,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
594.7,0.2,0.41,0.1,,594.71,612,0.0,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
596.3,0.2,0.5,0.12,,597.90,,1.58,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
597.9,0.2,1.22,0.29,,597.90,612,0.0,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
605.9,0.2,0.95,0.24,,1001.44,,395.55,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
605.9,0.2,0.14,0.06,,1001.5,,395.60,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
606,0.4,0.31,0.08,,990.5,,384.46,,,,,,63,78,Eu,,0,,5/2+,40.7,,7,s,40.7,0.7,EC+B+,100,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
635.6,0.5,0.045,0.018,,1180.2,,545.2,,,,,,63,78,Eu,,96.45,0.07,11/2-,2.7,,3,s,2.7,0.3,EC+B+,13,,6008,15,62,79,Sm,12-Oct-2022,N. NICA,2025-02-24
