energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
79.49,0.1,10.5,2.0838665984174707,,79.51,,0.0,E2,,,5.94,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
181.97,0.11,2.34,0.3351954653631221,,261.47,,79.51,E2,,,0.305,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
218.4,0.4,0.045,0.015660459763365827,,,,,,,,,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
245.33,0.17,0.096,0.015367498169838836,,2269.29,,2023.93,M1 E2,,,0.14,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
528.05,0.1,1.53,0.1775077463098442,,1793.50,,1265.48,E1,,,0.00417,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
606.39,0.09,3.96,0.4482365446948743,,1793.50,,1187.13,E1,,,0.00309,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
698.63,0.12,1.056,0.12000149999062511,,1964.14,,1265.48,E2+M1,,,0.0085,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
743.02,0.09,3.6,0.40249223594996214,,1930.16,,1187.13,M1+E2,0.17,15,0.0093,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
751.7,0.16,0.282,0.05310593187206115,,1793.50,,1041.62,M1+E2,,,0.0071,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
763.94,0.12,0.63,0.07742092740338365,,2023.93,,1259.95,E2,,,0.00495,,63,95,Eu,,0,,(1-),45.9,,2,m,2754,12,B-,100,,3419.5,23,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
