energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1274.537,0.007,100,0,,1274.577,,0.0,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
1431.1,,1.25,0.07,,7341.1,,5910.1,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
1453.1,,0.04,,,5910.1,,4456.2,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
1900,0.6,8.7,0.4,,7423.4,,5523.3,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
2082.6,0.5,81.9,2,,3357.2,,1274.577,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
2166.1,0.5,61.6,0.4,,5523.3,,3357.2,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
2283.9,0.7,5.1,0.3,,5641.2,,3357.2,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
2552.5,,0.02,,,5910.1,,3357.2,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
2987.7,0.9,7,0.3,,6345.1,,3357.2,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
3179.4,,0.04,,,4456.2,,1274.577,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
3983.5,1,1.2,0.2,,7341.1,,3357.2,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
4247.9,1,1,0.2,,5523.3,,1274.577,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
4366.1,1,11.3,0.6,,5641.2,,1274.577,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
4456,,0.0012,,,4456.2,,0.0,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
4634.8,,0.3,,,5910.1,,1274.577,,,,,,9,13,F,,0,,(4+),4.23,,4,s,4.23,0.04,B-,100,,10818,12,10,12,Ne,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24

