energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
237,,5,1.3,,237,2772,0.0,M1+E2,0.100,11,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
1825,,0.49,0.13999999999999999,,1825,2772,0.0,M1,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
2140,,0.24,0.06999999999999999,,2140,2772,0.0,M1+E2,-0.08,7,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
2914,,0.1,0.03,,2914,2772,0.0,M1,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
3426,,0.2,0.06,,3426,2772,0.0,,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
3555,,0.16,0.05,,3555,2772,0.0,,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
511,,199.78,,,,,,,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
0.66,,0.000817595058803,0.00012584176930626698,,,,,,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
5.888,,0.010496915324273126,0.0004678146942549341,,,,,,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
5.899,,0.02058622342473647,0.0009118947713233447,,,,,,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
6.512,,0.004224198555990404,0.00019198278098890052,,,,,,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
6.512,,0.004224198555990404,0.00019198278098890052,,,,,,,,,,26,25,Fe,,0,,5/2-,305,,2,ms,0.305,0.002,EC+B+,100,,8054.0,14,25,26,Mn,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24

