energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
43,,,,,187.97,0.000045,144.98,M1+E2,0.27,,177.5,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
55.14,,,,,243.13,,187.97,M1+E2,0.14,,54.6,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
62.47,,,,,62.48,11076481017.081793,0,M1+E2,0.29,3,46.8,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
134,,,,,550.6,,416.8,,,,,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
144.8,0.4,0.19,0.04,0.000045,144.98,11076481017.081793,0,M2+E3,0.42,12,65.2,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
271.8,0.4,2.6,0.6,,416.8,0.000045,144.98,E2,,,0.377,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
405,2,0.084,0.014,,550.6,0.000045,144.98,,,,,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
19.579,,5.52633431784,0.8657005375525646,,,,,,,,,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
109.867,,1.7712829363099407,0.3860400286969651,,,,,,,,,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
115.063,,2.7410754198544423,0.597306100357612,,,,,,,,,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
129.671,,1.0448971414716934,0.2289082623186069,,,,,,,,,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
131.332,,1.4168805238356164,0.3103556326679332,,,,,,,,,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24
133.529,,0.37198338236392287,0.08165864297000117,,,,,,,,,,100,153,Fm,,0,,1/2+,3.00,,12,d,259200,10368,A,12,1,7197.9,10,98,151,Cf,12-Oct-2023,C.D. Nesaraja,2025-02-24

