energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
57.4,0.1,,,,57.48,,0.0,[E2],,,133.9,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
57.4,0.1,,,,768.48,,710.96,[E2],,,133.9,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
129.1,0.1,,,,186.61,,57.48,[E2],,,3.24,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
192.5,0.1,,,,379.11,,186.61,[E2],,,0.672,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
264.5,0.2,,,,1144.53,,879.93,[E1],,,0.0469,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
265.5,0.2,,,,1033.92,,768.48,[E1],,,0.0464,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
323.1,0.2,,,,1033.92,,710.96,[E1],,,0.0298,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
333.1,0.2,,,,1522.39,,1189.05,[D E2],,,0.29,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
336.2,0.2,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
338.9,0.3,,,,1189.05,,849.85,[D E2],,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
375.8,0.2,,,,1144.53,,768.48,[E1],,,0.02141,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
385.5,0.3,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
500.8,,,,,879.93,,379.11,[E1],,,0.01176,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
548,0.3,,,,734.85,,186.61,[E2],,,0.0312,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
553.2,0.2,,,,932.22,,379.11,[E2],,,0.0306,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
581.9,0.1,,,,768.48,,186.61,[E1],,,0.00872,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
587,0.2,,,,1466.93,,879.93,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
599.3,0.1,,,,785.88,,186.61,[E2],,,0.0256,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
619.8,0.3,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
633.3,0.2,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
653.4,0.1,,,,710.96,,57.48,[E1],,,0.00697,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
663.2,0.1,,,,849.85,,186.61,[E2],,,0.02054,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
677.4,0.1,,,,734.85,,57.48,[E2],,,0.01963,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
693.3,0.1,,,,879.93,,186.61,[E1],,,0.00623,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
699.1,0.2,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
706.5,0.1,,,,893.08,,186.61,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
711,0.1,,,,768.48,,57.48,[E1],,,0.00594,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
711,0.1,,,,710.96,,0.0,[E1],,,0.00594,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
728.4,0.1,,,,785.88,,57.48,[E2],,,0.01687,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
734.9,0.1,,,,734.85,,0.0,[E2],,,0.01657,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
745.4,0.3,,,,932.22,,186.61,[E2],,,0.01609,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
754,0.5,,,,1522.39,,768.48,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
765.5,0.3,,,,1144.53,,379.11,[E2],,,0.01524,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
792.4,0.2,,,,849.85,,57.48,[E2],,,0.01421,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
801.9,0.3,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
811.9,0.3,,,,1522.39,,710.96,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
832.4,0.3,,,,1211.86,,379.11,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
835.5,0.3,,,,893.08,,57.48,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
840.4,0.5,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
847.2,0.3,,,,1033.92,,186.61,[E2],,,0.01243,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
863.5,0.3,,,,1897.26,,1033.92,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
886,0.2,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
898.7,0.2,,,,2043.47,,1144.53,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
958,0.2,,,,1144.53,,186.61,[M1 E2],,,0.021,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
965.8,0.2,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
971.8,0.2,,,,1158.55,,186.61,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
976.3,0.3,,,,1033.92,,57.48,[M1 E2],,,0.020,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
986.5,0.3,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1002.2,0.3,,,,1189.05,,186.61,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1004.3,0.3,,,,1897.26,,893.08,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1018.8,0.3,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1025.4,0.2,,,,1211.86,,186.61,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1033.8,0.5,,,,1033.92,,0.0,[E2],,,0.00845,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1049.2,0.3,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1086.9,0.5,,,,1144.53,,57.48,[E2],,,0.00768,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1094.8,0.3,,,,1281.15,,186.61,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1101.2,0.2,,,,1158.55,,57.48,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1106.5,0.3,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1111.8,0.3,,,,1897.26,,785.88,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1128.8,0.2,,,,1897.26,,768.48,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1154.6,0.2,,,,1341.21,,186.61,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1162.6,0.2,,,,1897.26,,734.85,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
1191.6,0.5,,,,,,,,,,,,87,143,Fr,,0,,(3),19.1,,4,s,19.1,0.4,B-,100,,4970,12,88,142,Ra,26-Sep-2023,C. Morse,2025-02-24
