energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
216.46,0.07,,,0.0000000005,895.60,7.6,679.14,E1,,,0.00692,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-N,22.2,2,5290,3,32,49,Ge,15-Aug-2008,CORAL M. BAGLIN,2025-02-24
415.4,0.1,1.56,0.12006664815842907,,2702.01,,2286.61,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
530.2,0.3,,,,1241.3,0.0000000039,711.05,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-N,22.2,2,5290,3,32,49,Ge,15-Aug-2008,CORAL M. BAGLIN,2025-02-24
711.05,0.14,,,0.0000000039,711.05,7.6,0,[E2],,,8.42E-4,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-N,22.2,2,5290,3,32,49,Ge,15-Aug-2008,CORAL M. BAGLIN,2025-02-24
867,0.1,6.18,0.9355982043591149,,2215.43,0.00000000000058,1348.3,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
938.3,0.1,4.32,0.2941836161311503,,2286.61,0.00000000000058,1348.3,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
985.3,0.1,2.82,0.406132983147146,,2333.61,0.00000000000058,1348.3,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
1348.3,0.1,60,5.8,0.00000000000058,1348.3,4,0.0,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
1354,1,3.9,0.7655063683601855,,2702.01,0.00000000000058,1348.3,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
1365.4,0.2,2.1,0.3862641583165593,,2713.74,0.00000000000058,1348.3,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
1727.4,0.2,0.9,0.24738633753705963,,3075.78,0.00000000000058,1348.3,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
1910.2,0.2,6.54,0.8417220443828236,,3258.52,0.00000000000058,1348.3,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
1951.5,0.2,1.08,0.25056735621385323,,1951.52,4,0.0,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
2215.43,0.02,11.1,2.3400854685246006,,2215.43,4,0.0,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
2714.3,0.9,1.92,0.32616560211033907,,2713.74,4,0.0,,,,,,31,51,Ga,,0,,(2-),0.600,,2,s,0.6,0.002,B-,100,,12484,3,32,50,Ge,1-Mar-2019,J. K. TULI and  E. BROWNE,2025-02-24
