energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
13.47,0.19,7.35,0.32,0.03197,121.05,,107.5803,E1,,,12.6,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24
21.036,0.004,0.03845,0.00059,,107.5803,,86.5460,E2,,,2.60E3,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24
86.545,0.003,69.88,0.29,,86.5460,,0.0,E1,,,0.431,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24
6.858,,30.85475712,1.3870217646155985,,,,,,,,,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24
42.308,,6.666367434737311,0.10658501831597209,,,,,,,,,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24
42.996,,11.992026326204913,0.183993121780748,,,,,,,,,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24
48.802,,3.7907710523022766,0.07103670539674753,,,,,,,,,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24
49.326,,4.787743839057775,0.0876944395902057,,,,,,,,,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24
49.957,,0.9969727867554987,0.026613721494714,,,,,,,,,,64,91,Gd,,121.1,0.19,11/2-,31.97,,27,ms,0.03197,0.00027,IT,100,,,,64,91,Gd,21-Oct-2019,N. NICA,2025-02-24

