energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
75,0.1,,,,75.0,,0.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
367.5,0.1,,,,442.8,,75.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
373.1,0.1,,,,1000.1,,627.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
442.8,0.1,,,,442.8,,0.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
482.4,0.1,,,,925.1,,442.8,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
627,0.1,,,,627.0,,0.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
641.2,0.1,,,,1363.5,,722.2,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
647.4,0.1,,,,722.2,,75.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
709.1,0.2,,,,2072.6,,1363.5,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
722.2,0.1,,,,722.2,,0.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
925,0.1,,,,925.1,,0.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
954.2,0.1,,,,954.2,,0.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
1363.6,0.1,,,,1363.5,,0.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
2485.4,0.3,,,,2485.4,,0.0,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24
2765.2,0.2,,,,3208.0,,442.8,,,,,,32,31,Ge,,0,,(3/2-),153.3,,6,ms,0.1533,0.0006,EC+B+,100,,9626,37,31,32,Ga,30-Sep-2023,Jun Chen,2025-02-24

