energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
4.67,0.015,0.000026477,0.0000020615831295390446,0.0000000052,128.345,0.0000742,123.675,E2,,,2.18E+6,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
9.594,0.017,0.02573,0.0034477963977010014,0.00000000038,434.914,0.00000000084,425.320,[M1],,,149,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
77.92,0.03,0.052539,0.0025222610887852192,0.00000000038,434.914,0.000000000383,356.999,M1+E2,3.6,AP,9.0,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
117.18,0.03,0.001992,0.0008331170385966188,,117.18,43232988.58519104,0.0,[M1 E2],,,2.1,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
117.18,0.03,0.06225,0.012651679730375726,,552.10,0.00000000038,434.914,[M1 E2],,,2.1,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
123.675,0.015,83,4.352897425853267,0.0000742,123.675,43232988.58519104,0.0,E1,,,0.202,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
134.965,0.014,4.7393,0.21176387793955795,0.00000000016,263.310,0.0000000052,128.345,M1+E2,1.7,1,1.23,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
139.635,0.015,12.699,0.5664847747292067,0.00000000016,263.310,0.0000742,123.675,M1+E2,0.41,4,1.38,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
162.01,0.016,6.4574,0.28641152211459653,0.00000000084,425.320,0.00000000016,263.310,E1,,,0.099,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
171.604,0.017,0.16932,0.010312342120003584,0.00000000038,434.914,0.00000000016,263.310,E1,,,0.086,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
229.61,0.11,0.00249,0.000834865258589672,,1359.27,,1129.66,,,,,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
239.82,0.04,0.005976,0.0024166722988440115,0.000000000383,356.999,,117.18,[E2],,,0.155,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
288.79,0.03,0.027888,0.0019420772384228183,,552.10,0.00000000016,263.310,[E1],,,0.0228,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
296.974,0.016,33.864,1.3925056552847461,0.00000000084,425.320,0.0000000052,128.345,E1,,,0.0213,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
306.568,0.015,6.4242,0.27170949560146035,0.00000000038,434.914,0.0000000052,128.345,E1,,,0.0197,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
311.239,0.015,10.7485,0.43659236136240404,0.00000000038,434.914,0.0000742,123.675,E1,,,0.0190,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
356.998,0.022,0.46563,0.025449499012750725,0.000000000383,356.999,43232988.58519104,0.0,M1,,,0.110,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
377.71,0.09,0.00083,0.000030000114816446953,,734.71,0.000000000383,356.999,,,,,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
423.06,0.03,0.06308,0.003376166465090251,,975.153,,552.10,M1,,,0.0704,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
426.94,0.13,0.009877,0.0016979543574548758,,1408.75,,981.81,[M1],,,0.0687,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
428.42,0.03,0.012118,0.0016366957567000655,,552.10,0.0000742,123.675,[E1],,,0.0089,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
429.71,0.04,0.008881,0.0018540002696871432,,981.81,,552.10,[E2],,,0.0277,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
444.82,0.03,0.004316,0.0011724248376761728,,1334.05,,889.23,M1,,,0.0617,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
451.3,0.03,0.008881,0.0012055227082058636,,1003.402,,552.10,M1+E2,1,5,0.036,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
458.23,0.11,0.00332,0.001664331697709324,,721.54,0.00000000016,263.310,,,,,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
492.4,0.3,0.001245,0.0005827400792806344,,,,,,,,,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
540.238,0.016,0.36935,0.016656052953806313,,975.153,0.00000000038,434.914,M1,,,0.0375,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
546.895,0.023,0.030378,0.0017878828261382231,,981.81,0.00000000038,434.914,M1,,,0.0364,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
549.832,0.018,0.43741,0.020123583179940892,,975.153,0.00000000084,425.320,M1,,,0.0359,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
556.489,0.023,0.012284,0.001321802178845231,,981.81,0.00000000084,425.320,E0+M1,,,0.41,,72,101,Hf,,0,,1/2-,23.6,,1,h,84960,360,EC+B+,100,,1469,28,71,102,Lu,1-Oct-1993,V. S. SHIRLEY,2025-02-24
