energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
49,0.3,1.25,0.08,,1395.0,,1346.1,[M1],,,11.5,,80,125,Hg,,1556.4,0.3,13/2+,1.09,,4,ms,0.00109,0.00004,IT,100,,,,80,125,Hg,20-Apr-2020,F.G. KONDEV,2025-02-24
161.4,0.5,6.51,0.14,0.00109,1556.4,,1395.0,M2,,,11.63,,80,125,Hg,,1556.4,0.3,13/2+,1.09,,4,ms,0.00109,0.00004,IT,100,,,,80,125,Hg,20-Apr-2020,F.G. KONDEV,2025-02-24
203.7,0.2,2.2,1,0.00000000146,203.65,,0.0,M1+E2,1.18,19,0.46,,80,125,Hg,,0,,1/2-,5.14,,9,m,308.4,5.4,B-,100,,1533,4,81,124,Tl,20-Apr-2020,F.G. KONDEV,2025-02-24
210.3,0.5,4.8,0.4,0.00109,1556.4,,1346.1,E3,,,2.73,,80,125,Hg,,1556.4,0.3,13/2+,1.09,,4,ms,0.00109,0.00004,IT,100,,,,80,125,Hg,20-Apr-2020,F.G. KONDEV,2025-02-24
379.42,0.11,92.9,2.7,,379.5,308.4,0.0,E2,,,0.0546,,80,125,Hg,,1556.4,0.3,13/2+,1.09,,4,ms,0.00109,0.00004,IT,100,,,,80,125,Hg,20-Apr-2020,F.G. KONDEV,2025-02-24
415.6,0.3,0.013,0.006,,619.3,0.00000000146,203.65,M1+E2,-0.069,11,0.1621,,80,125,Hg,,0,,1/2-,5.14,,9,m,308.4,5.4,B-,100,,1533,4,81,124,Tl,20-Apr-2020,F.G. KONDEV,2025-02-24
467.58,0.12,1.82,0.33,,467.5,308.4,0.0,M1,,,0.1095,,80,125,Hg,,1556.4,0.3,13/2+,1.09,,4,ms,0.00109,0.00004,IT,100,,,,80,125,Hg,20-Apr-2020,F.G. KONDEV,2025-02-24
521.3,0.05,0.0007,0.0004,,1140.6,,619.3,M1+E2,2.2,GT,0.031,,80,125,Hg,,0,,1/2-,5.14,,9,m,308.4,5.4,B-,100,,1533,4,81,124,Tl,20-Apr-2020,F.G. KONDEV,2025-02-24
618.6,0.7,0.001,0.0005,,619.3,,0.0,E2,,,0.01717,,80,125,Hg,,0,,1/2-,5.14,,9,m,308.4,5.4,B-,100,,1533,4,81,124,Tl,20-Apr-2020,F.G. KONDEV,2025-02-24
720.8,0.8,0.0011,0.0006,,1340.3,,619.3,[M1 E2],,,0.0382,,80,125,Hg,,0,,1/2-,5.14,,9,m,308.4,5.4,B-,100,,1533,4,81,124,Tl,20-Apr-2020,F.G. KONDEV,2025-02-24
878.83,0.21,2.02,0.33,,1346.1,,467.5,[E2],,,0.00780,,80,125,Hg,,1556.4,0.3,13/2+,1.09,,4,ms,0.00109,0.00004,IT,100,,,,80,125,Hg,20-Apr-2020,F.G. KONDEV,2025-02-24
