energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
66.3,0.1,2.25,0.3,,66.3,,0.0,M1,,,7.83,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
249.2,0.2,0.75,0.075,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
309.1,0.1,3.75,0.3,,740.2,,431.1,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
312.9,0.1,14.25,0.75,,431.1,,118.2,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
315.1,0.2,1.8,0.3,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
316.6,0.2,1.2,0.3,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
334.1,0.1,13.5,0.3,,740.2,,406.1,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
339.8,0.1,15,0,,406.1,,66.3,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
387.6,0.2,2.25,0.75,,818.7,,431.1,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
401.8,0.1,12.75,0.75,,1142.0,,740.2,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
498.3,0.2,1.8,0.45,,1640.3,,1142.0,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
543.2,0.2,3,0.75,,1283.4,,740.2,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
563.3,0.2,2.25,0.75,,681.5,,118.2,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
622.1,0.2,2.25,0.75,,740.2,,118.2,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
700.5,0.3,3,0.75,,818.7,,118.2,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
852,0.5,0.75,0.3,,1283.4,,431.1,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
511,,121,,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
7.384,,3.4,0.4,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
45.207,,4.6,0.6,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
45.998,,8.3,1.1,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
52.22,,2.7,0.3,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
52.791,,3.3,0.4,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
53.478,,0.69,0.09,,,,,,,,,,67,78,Ho,,0,,(11/2-),2.4,,1,s,2.4,0.1,EC+B+,100,,9122,10,66,79,Dy,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24

