energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
158.57,0.1,25.9,1.3,0.0000003,4605.02+X,0.0000000002,4446.45,E2,,,0.313,,49,82,In,,3764,88,(21/2+),0.32,,6,s,0.32,0.06,B-,99,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
171.1,0.3,1.3,0.4,0.0000000002,4273.26+X,,4102.07,,,,,,49,82,In,,3764,88,(21/2+),0.32,,6,s,0.32,0.06,B-,99,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
173.185,0.023,38,2,0.0000000002,4446.45+X,0.0000000002,4273.26,(E1),,,0.0384,,49,82,In,,3764,88,(21/2+),0.32,,6,s,0.32,0.06,B-,99,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
259.2,0.3,1.9,0.4,,4705.6+X,0.0000000002,4446.45,,,,,,49,82,In,,3764,88,(21/2+),0.32,,6,s,0.32,0.06,B-,99,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
270.34,0.1,8.1,0.8,,4875.36+X,0.0000003,4605.02,,,,,,49,82,In,,3764,88,(21/2+),0.32,,6,s,0.32,0.06,B-,99,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
284.67,0.1,36,2,0.000000002,4557.89+X,0.0000000002,4273.26,(M1 E2),,,0.037,,49,82,In,,3764,88,(21/2+),0.32,,6,s,0.32,0.06,B-,99,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
331.72,0.1,0.06,,,331.72,,0.0,,,,,,49,82,In,,0,,(9/2+),0.28,,3,s,0.28,0.03,B-,100,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
331.72,0.1,3.6,0.9,,331.73,56,0.0,[M1 E2],,,0.0239,,49,82,In,,302,32,(1/2-),0.35,,5,s,0.35,0.05,B-,99.982,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
344.4,0.1,5.7,0.5,0.0000000002,4446.45+X,,4102.07,,,,,,49,82,In,,3764,88,(21/2+),0.32,,6,s,0.32,0.06,B-,99,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
779.64,0.1,1.7,0.1,,2434.17,,1654.55,,,,,,49,82,In,,0,,(9/2+),0.28,,3,s,0.28,0.03,B-,100,,9240,4,50,81,Sn,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2025-02-24
