energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
4.9,,,,0.000003,102.3,,97.4,,,,,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
15.2,,,,0.00000078,275.7,,260.5,,,,,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
24.2,0.04,0.0182,0.008127115109311545,,222.4,,198.1,M1+E2,0.09,4,94,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
30.4,0.5,0.021,0.009581753492967767,,127.9,,97.4,(M1),,,33.5,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
33.85,0.05,0.0126,0.005882176467941097,,351.7,,317.8,(M1),,,24.4,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
37.4,0.1,3.43,0.8544588931013591,,37.4,8087040,0.0,M1+E2,0.05,1,19.2,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
60,0.1,5.74,1.445164350515193,,97.4,,37.4,M1+E2,0.18,3,5.6,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
64.9,,,,0.000003,102.3,,37.4,,,,,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
90.45,0.14,1.302,0.22865913495856666,,127.9,,37.4,M1(+E2),1.5,LE,7.4,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
94.5,0.2,0.399,0.07080254232723568,,222.4,,127.9,M1+E2,0.9,3,6.28,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
97.4,0.2,4.2,1.0322790320451152,,97.4,8087040,0.0,E2,,,4.93,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
100.75,0.16,2.45,0.4482186966202994,,198.1,,97.4,M1+E2,0.22,5,5.63,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
119.65,0.18,0.0532,0.009440338976964757,,317.8,,198.1,M1+E2,1.2,LE,3.1,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
124.95,0.2,0.0329,0.014106027080648896,,222.4,,97.4,(M1),,,3.07,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
126.9,0.2,0.84,0.37,,402.6,0.00000078,275.7,M1+E2,0.4,AP,2.77,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
127.9,0.2,0.7,0.2973213749463701,,127.9,8087040,0.0,M1,,,2.87,,77,108,Ir,,0,,5/2-,14.4,,1,h,51840,360,EC+B+,100,,2470,28,76,109,Os,1-Nov-2005,S. -C. WU,2025-02-24
