energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1970.4,0.5,81.8,1.6,,1970.84,,0.0,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
2170.29,0.2,3,0.4,,6612.12,,4441.54,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
2207.8,0.3,30,3,,4178.67,,1970.84,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
2433.43,0.21,32,3,,6612.12,,4178.67,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
2470.5,0.4,4.8,0.4,,4441.54,,1970.84,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
2699.3,0.5,0.39,0.05,,7140.9,,4441.54,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
2897,0.3,0.99,0.11,,7338.7,,4441.54,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
4178.5,0.3,2.04,0.19,,4178.67,,0.0,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
4440.8,0.3,8,0.8,,4441.54,,0.0,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
4641,0.5,0.72,0.1,,6612.12,,1970.84,,,,,,19,17,K,,0,,2+,341,,3,ms,0.341,0.003,EC+B+,100,,12814.4,3,18,18,Ar,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2025-02-24
