energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
106.05,0.03,0.4485,0.04399477241673151,,227.83,,121.79,(M1+E2),0.5,2,0.255,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
106.92,0.15,0.0429,0.012156479753612885,258,106.90,158,0,M3,,,10.76,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
120.92,0.03,3.51,0.3572897983430257,,227.83,258,106.90,(M1+E2),0.5,2,0.165,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
121.82,0.03,35.49,2.9701515112869243,,121.79,158,0,(M1),,,0.0844,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
180.66,0.15,0.039,0.019729419656948858,,536.91,,356.23,,,,,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
220.82,0.14,0.039,0.019729419656948858,,933.08,,712.46,,,,,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
227.76,0.08,0.1248,0.015134397906755326,,227.83,158,0,[E2],,,0.0478,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
234.44,0.03,2.652,0.23517015116719214,,356.23,,121.79,,,,,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
242.19,0.03,9.945,0.8261773417372326,,242.19,158,0,,,,,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
249.32,0.03,1.365,0.1572068700788868,,356.23,258,106.90,,,,,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
305.1,0.18,0.0546,0.012431009613060397,,661.28,,356.23,,,,,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
309.07,0.09,0.1365,0.015720687007888683,,536.91,,227.83,,,,,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
356,0.2,0.1053,0.039832273347123935,,356.23,158,0,,,,,,36,54,Kr,,0,,0+,32.32,,9,s,32.32,0.09,B-,100,,4406,7,37,53,Rb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
