energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
54.24,,,,,989.90,,935.59,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
158.468,0.005,55.6,1.4305747096883825,0.00000000101,158.467,56.8,0.0,E2,,,0.407,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
252.45,0.07,1.668,0.11443093987204685,,1368.89,,1116.62,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
257.09,0.09,0.3336,0.0558616147278254,,1625.98,,1368.89,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
295.07,0.09,6.672,0.15501432191897624,0.0000000012,453.45,0.00000000101,158.467,[E2],,,0.0513,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
298.81,0.14,0.7228,0.05681769090697016,,1415.61,,1116.62,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
369.45,0.08,0.6672,0.05663920903402518,,1486.07,,1116.62,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
378.93,0.04,3.9476,0.39441076303772443,,1368.89,,989.90,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
387.92,0.1,1.39,0.05998008002662217,,841.39,0.0000000012,453.45,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
425.68,0.08,1.0008,0.057912002210249995,,1415.61,,989.90,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
433.32,0.08,1.112,0.0584410814410548,,1368.89,,935.59,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
482.19,0.07,0.9452,0.05766671483620339,,935.59,0.0000000012,453.45,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
536.38,0.16,0.5004,0.05618692018610737,,989.90,0.0000000012,453.45,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
601.88,0.06,7.6172,0.1660371344007117,,760.32,0.00000000101,158.467,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
611.81,0.07,2.8912,0.07267461730205395,,770.43,0.00000000101,158.467,E2,,,0.00634,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
654.53,0.11,0.7784,0.22275663850938315,,1589.91,,935.59,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
663.2,0.07,1.5012,0.060678249809960734,,1116.62,0.0000000012,453.45,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
682.97,0.06,6.4496,0.5111746472586449,,841.39,0.00000000101,158.467,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
713.37,0.12,0.5004,0.05618692018610737,,1554.76,,841.39,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
760.3,0.06,8.5624,0.4131423483498151,,760.32,56.8,0.0,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
770.53,0.1,0.5004,0.05618692018610737,,1223.98,0.0000000012,453.45,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
777.16,0.06,7.1724,0.1607627133386346,,935.59,0.00000000101,158.467,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
794.44,0.11,0.7228,0.05681769090697016,,1554.76,,760.32,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
819.28,0.08,1.3344,0.33429854920415075,,1589.91,,770.43,,,,,,57,91,La,,0,,(2-),1.26,,8,s,1.26,0.08,B-,100,,7690,22,58,90,Ce,1-Oct-2013,N. NICA,2025-02-24
