energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
17.7,0.5,0.08,0.04,,,,,,,,,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
24,0.5,0.2,0.1,,2427.96,,2404.87,[M1(+E2)],0.38,LT,1.8E2,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
27.1,0.5,0.08,0.04,,1479.99,,1451.76,[E1],,,2.23,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
53.2,0.5,0.165,0.022,,2065.08,,2011.39,,,,,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
68,0.5,0.05,0.007,0.00000000014,2204.00,,2135.34,,,,,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
74,0.5,0.066,0.009,,1233.1,,1159.4,,,,,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
84,0.6,0.04,0.024,,1067.15,,984.00,[M1 E2],,,6.0,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
87.76,0.12,,,0.00000000149,87.77,,0.0,E2,,,5.34,,71,97,Lu,,0,,6(-),5.5,,1,m,330,6,EC+B+,100,,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
87.77,0.03,14,3,0.00000000149,87.765,,0.0,E2,,,5.34,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
89.6,0.4,0.08,0.03,,1479.99,,1390.12,[E1],,,0.456,,71,97,Lu,,202.81,0.12,3+,6.7,,4,m,402,24,EC+B+,99.6,0.4,4507,38,70,98,Yb,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
