energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
56.7,0.2,0.20574,0.05081157840492657,,,,,,,,,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
71.1,0.1,3.048,0.2539965550947493,,447.9,,376.8,(E1),,,0.366,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
80.1,0.2,0.92583,0.10140551168452334,,80.1,23820480,0.0,(M1+E2),1.3,3,49,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
86.9,0.2,0.21336,0.05834740868281984,,376.8,,289.9,(M1+E2),,,31,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
91,0.3,0.1143,0.06886876214946802,,171.1,,80.1,[M1+E2],,,25,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
171.1,0.2,0.43434,0.14298833693696839,,171.1,23820480,0.0,[E2],,,2.30,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
189.1,0.2,0.37719,0.1500373693451068,,403.8,,214.7,[D E2],,,3.5,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
205.7,0.2,0.46101,0.1657888325551513,,376.8,,171.1,[M1+E2],,,3.2,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
214.7,0.2,0.44196,0.17694484225317222,,214.7,23820480,0.0,[D E2],,,2.5,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
276.8,0.1,7.6962,0.8390332830108708,,447.9,,171.1,(E1),,,0.0556,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
296.7,0.2,2.0574,0.3611647408039716,,376.8,,80.1,[M1+E2],,,1.1,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
298.1,0.3,0.72009,0.21702024260423267,,469.2,,171.1,[D E2],,,0.98,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
367.8,0.1,38.1,3.364686495054183,,447.9,,80.1,(E1),,,0.0308,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
376.8,0.4,0.65532,0.2578127756725799,,376.8,23820480,0.0,[M1+E2],,,0.6,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
389.1,0.2,1.524,0.3530388222278111,,469.2,,80.1,[D E2],,,0.47,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
447.9,0.1,13.9446,1.639167715641081,,447.9,23820480,0.0,(E1),,,0.0209,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
20.093,,25.4346460352544,3.701660256465901,,,,,,,,,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
112.581,,1.3033702531658728,0.5289422231999968,,,,,,,,,,101,157,Md,,0,,(8-),51.50,,29,d,4449600,25056,A,100,,7271.3,19,99,155,Es,31-Jan-2019,BALRAJ SINGH,2025-02-24
