energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
30.6383,0.0007,89,0,,30.6383,134.7,0.0,M1+E2,0.001,6,0.0644,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
400.6,0.2,35.9,0,,1372.85,,972.24,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
648.1,0.5,0.085,0,,1620.1,,972.24,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
941.7,0.4,36.3,0,,972.24,,30.6383,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
972.24,,0.2,,,972.24,134.7,0.0,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1342.2,0.2,54,0,,1372.85,,30.6383,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1372.8,0.2,4.7,0,,1372.85,134.7,0.0,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1589.4,0.4,4.7,0,,1620.1,,30.6383,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1620,0.4,0.3,0,,1620.1,134.7,0.0,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
0.091,,0.0044654148,0.0013840841298141382,,,,,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1.487,,0.06776536047727323,0.0024200213068904836,,,,,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1.487,,0.13464208320539087,0.00476156856080379,,,,,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1.558,,0.004250556317335946,0.0006255117189860237,,,,,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1.558,,0.004250556317335946,0.0006255117189860237,,,,,,,,,,12,16,Mg,,0,,0+,20.915,,9,h,75294,32.4,B-,100,,1830.77,27,13,15,Al,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24

