energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
201.6,0.5,0.08712,0.014616866969361115,,1160.97,,959.47,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
206.8,0.1,19.602,0.8185108429336779,,206.90,358.8,0.0,(M1+E2),,,0.018,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
237.8,0.1,1.67343,0.038932265539010184,,629.08,,391.29,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
391.2,0.1,2.67531,0.06106436767870441,,391.29,358.8,0.0,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
422.2,0.1,1.65165,0.043101555656379735,,629.08,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
517.9,0.5,0.04356,0.01454427722508066,,1477.31,,959.47,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
531.5,0.3,0.05445,0.014557915372744822,,1160.97,,629.08,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
624,0.5,0.27951,0.029535972982111153,,1252.86,,629.08,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
629,0.1,36.3,0.7,,629.08,358.8,0.0,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
640.5,0.3,0.06534,0.01819368296964636,,1893.12,,1252.86,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
654.7,0.1,0.20328,0.022129952553044483,0.000000239,861.60,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
752.6,0.1,0.68607,0.025483353390007367,,959.47,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
806.6,0.3,0.07623,0.018209431622101774,,1013.07,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
861.5,0.1,0.17787,0.01847125875515797,,1252.86,,391.29,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
954.1,0.1,1.04544,0.03838951028601433,,1160.97,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
959.4,0.2,0.15609,0.043663871793509106,,959.47,358.8,0.0,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
982.4,0.5,0.07986,0.029080804665620928,,2143.72,,1160.97,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1013,0.1,0.4719,0.02699033345477599,,1013.07,358.8,0.0,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1046,0.1,1.62987,0.045334024749629276,,1252.86,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1055.3,0.1,0.38115,0.026451665353999926,,1262.46,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1130.6,0.1,0.23595,0.025814155031687557,,2143.72,,1013.07,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1161,0.1,2.23245,0.05871718147186563,,1160.97,358.8,0.0,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1184.6,0.5,0.08349,0.025460954420445436,,2143.72,,959.47,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1239.7,0.1,0.19239,0.02927602602813435,,2717.03,,1477.31,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1252.9,0.1,1.32858,0.04443055705255112,,1252.86,358.8,0.0,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1258.5,0.5,0.09438,0.04359800454149249,,2510.58,,1252.86,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1262.7,0.1,0.19602,0.054581048908939084,,1262.46,358.8,0.0,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1263.7,0.5,0.22869,0.036566898966141494,,1893.12,,629.08,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1270.4,0.1,0.25773,0.054676351377903776,,1477.31,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1350.8,0.5,0.11253,0.036364803038102654,,2510.58,,1160.97,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1498.3,0.5,0.06534,0.0254412204895913,,2510.58,,1013.07,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
1498.3,0.5,0.09075,0.014625077777570963,,1705.2,,206.90,,,,,,25,36,Mn,,0,,5/2(-),0.709,,8,s,0.709,0.008,B-,100,,7178,3,26,35,Fe,25-Jan-2015,KAZIMIERZ ZUBER and  BALRAJ SINGH,2025-02-24
