energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2.3,0.4,0.000000002,0.000000005,18.91,124.7,0.000063,122.370,[M2+E3],,,3.3E+9,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
42.7,0.04,2.1672,0.24598837370900276,,328.00,,285.30,M1+(E2),0.18,LT,2.9,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
122.37,0.022,64.242,3.344448086007615,0.000063,122.370,52560,0,E2,,,0.557,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
162.93,0.09,5.9598,0.5860120561899729,,285.30,0.000063,122.370,M1+E2,0.24,17,0.067,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
203.13,0.1,6.3468,0.5916891751587146,,854.32,,651.20,,,,0.036,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
257.34,0.04,77.4,3.715061776067795,0.00619,382.0,18.91,124.7,E3(+M4),0.12,LT,0.182,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
323.2,0.18,6.2694,0.590529635158135,,651.20,,328.00,M1+E2,0.6,3,0.0122,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
421,0.3,0.24768,0.0779543353508963,,,,,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
425.1,0.5,0.35604,0.0785411713689069,,1769.1,,1344.1,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
440.5,0.6,0.9288,0.2347932707723967,,822.6,0.00619,382.0,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
445.37,0.21,5.9598,0.6582336439289623,,827.4,0.00619,382.0,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
472.2,0.3,1.41642,0.15634279164707277,,854.32,0.00619,382.0,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
489.8,0.4,0.72756,0.10424726375305972,,1344.1,,854.32,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
517.7,0.7,0.1548,0.10078702495857292,,,,,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
941.5,0.4,5.4954,0.6525361675800048,,1769.1,,827.4,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
946.4,0.8,0.6966,0.23366225625890033,,1769.1,,822.6,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
987.3,1,0.13932,0.05443088094087767,,,,,,,,,,42,48,Mo,,0,,0+,5.56,,9,h,20016,324,EC+B+,100,,2489,5,41,49,Nb,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
