energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
96.4,0.3,43.9,2.4,,96.0,,0.0,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-N,42.9,1.4,10362,79,8,11,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
1375.5,0.5,15.6,0.9,,1471.7,,96.0,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-N,42.9,1.4,10362,79,8,11,O,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
1673.52,0.05,51.6,1.1,0.00000000000728,1673.60,13.51,0,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
1812.1,0.6,2.9,0.7,,5384.2,,3572.0,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
1898.2,0.6,6.5,0.7,,3572.0,0.00000000000728,1673.60,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
2397,0.7,7.1,0.8,,4071.1,0.00000000000728,1673.60,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
2779.5,0.9,1.4,0.6,,4453.4,0.00000000000728,1673.60,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
2982,1,2.1,0.5,,6554.5,,3572.0,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
3497,1,,,,7568.5,,4071.1,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
4072,2,2.2,0.7,,4071.1,13.51,0,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
4882,3,2.2,0.7,,6554.5,0.00000000000728,1673.60,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
5896,4,,,,7568.5,0.00000000000728,1673.60,,,,,,7,13,N,,0,,(2-),134.4,,37,ms,0.1344,0.0037,B-,100,,17970,80,8,12,O,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24

