energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
654.9,1.8,0.003,0.0011,,5621.4,,4966.51,[M1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
1633.602,0.015,79.3,1.1,,1633.674,,0,[E2],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
2445,4,0.0081,,,10274,,7829.0,[M1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
2451,5,0.0007,0.000000007,,9873,,7421.9,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
2613.8,1.1,0.0026,0.0018,,4247.7,,1633.674,[E2],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
2852,4,0.21,,,10274,,7421.9,[M1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
3332.54,0.2,0.037,0.003,,4966.51,,1633.674,[E1+M2+E3],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
3987.3,1.7,0.0543,0.0006,,5621.4,,1633.674,[E1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
4252,5,0.0015,0.000000015,,9873,,5621.4,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
4652,4,0.066,,,10274,,5621.4,[E1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
4905,4,0.001,,,9873,,4966.51,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
4965.85,0.2,0.00022,0.00008,,4966.51,,0,[M2],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
5306,3,0.04,,,10274,,4966.51,[E1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
5620.6,1.7,0.0047,0.0008,,5621.4,,0,[E3],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
5624,5,0.0026,0.0018,,9873,,4247.7,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
6635,4,0.004,,,10884,,4247.7,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
8237,4,0.017,0.011,,9873,,1633.674,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
8638,3,2.59,,,10274,,1633.674,[M1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
9248,3,0.013,,,10884,,1633.674,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
9626.1,1.9,0.032,0.011,,11262.3,,1633.674,[M1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
9870,4,0.0001,,,9873,,0,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
10271,3,0.023,,,10274,,0,[E2],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
11258.9,1.9,0.171,0.024,,11262.3,,0,[M1],,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
511,,200.2092,,,,,,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
0.848,,0.000055,0.000003,,,,,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24
0.848,,0.0000278,0.0000017,,,,,,,,,,11,9,Na,,0,,2+,447.9,,23,ms,0.4479,0.0023,EC,100,,13892.4,11,10,10,Ne,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2025-02-24

