energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
13.49,0.1,21,6,0.000000226,13.5,876.6,0.0,M1(+E2),0.03,LT,12.3,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
43.515,0.005,21,6.177450930602363,0.000000133,57.0,0.000000226,13.5,M1+E2,1.06,13,14.1,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
81.2,0.1,0.21,0.07323933369440222,,318.9,,237.6,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
114,0.1,0.42,0.12713772060250256,,171.2,0.000000133,57.0,[M1],,,0.1751,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
118.6,0.1,2.94,0.8658521813797088,,289.7,,171.2,[M1],,,0.1570,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
157.5,0.1,6.72,1.965400722499104,,171.2,0.000000226,13.5,[M1],,,0.0736,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
165,0.3,0.042,0.02418677324489565,,454.4,,289.7,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
180.6,0.1,1.848,0.5428259389528102,,237.6,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
186,0.3,0.546,0.16155494421403513,,479.4,,293.8,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
217,0.2,0.252,0.08335466393669883,,454.4,,237.6,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
224,0.2,0.147,0.05939696961966999,,237.6,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
232.6,0.1,1.029,0.3057646153497818,,289.7,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
236.8,0.3,0.315,0.1382931668593933,,293.8,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
237.5,0.5,0.042,0.04368065933568311,,237.6,876.6,0.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
276.1,0.1,21,6.130872694812705,,289.7,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
280.3,0.1,0.714,0.22061731573020282,,293.8,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
283.5,0.1,0.693,0.21508137994721904,,454.4,,171.2,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
289.6,0.1,2.1,0.6230762393158642,,289.7,876.6,0.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
294,0.5,0.42,0.24186773244895649,,293.8,876.6,0.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
294.5,0.3,1.05,0.5161395160225576,,351.6,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
305.2,0.2,0.189,0.08297590011563598,,318.9,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
338.1,0.2,0.042,0.04368065933568311,,351.6,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
351.6,0.1,0.504,0.15717824276915682,,351.6,876.6,0.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
356.3,0.2,0.168,0.07920227269466451,,810.4,,454.4,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
374.5,0.5,0.084,0.0483735464897913,,854.1,,479.4,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
397.5,0.5,0.294,0.105,,454.4,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
399.3,0.5,0.588,0.21,,854.1,,454.4,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
422.8,0.2,0.105,0.06977822009767805,,479.4,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
441.1,0.1,4.62,1.3366001645967278,,454.4,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
454.5,0.2,0.357,0.14638647478507022,,454.4,876.6,0.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
459.1,0.2,0.399,0.14160508465447136,,810.4,,351.6,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
466.3,0.1,3.78,1.1002272492535348,,479.4,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
479.8,0.1,3.99,1.1591807451816993,,479.4,876.6,0.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
507.5,0.3,0.84,0.27106456795383643,,797.2,,289.7,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
559.7,0.2,0.693,0.22411827234743714,,797.2,,237.6,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
626.1,0.2,0.189,0.08297590011563598,,797.2,,171.2,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
639.5,0.3,0.168,0.07920227269466451,,810.4,,171.2,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
682.9,0.2,0.672,0.22965191050805564,,854.1,,171.2,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
740.2,0.2,0.357,0.13213629327327145,,797.2,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
753.6,0.4,0.168,0.07920227269466451,,810.4,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
783.5,0.2,1.554,0.544390484854392,,797.2,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
797.1,0.2,1.512,0.500127983620193,,854.1,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
810.6,0.4,0.525,0.29326438583639847,,810.4,876.6,0.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
840.5,0.3,0.294,0.105,,854.1,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
853.9,0.2,0.966,0.3345100895339332,,854.1,876.6,0.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
1042.2,0.2,0.756,0.2612757164376361,,1099.0,0.000000133,57.0,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
1085.7,0.3,0.252,0.1451206394693739,,1099.0,0.000000226,13.5,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
2.44,,18.7277930047404,3.5566100719917184,,,,,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
17.374,,41.35469598280064,12.806398037663762,,,,,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
17.479,,78.81588714084361,24.40419690817324,,,,,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
19.681,,20.681003300134964,6.406277012909493,,,,,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
19.794,,23.865877808355748,7.392120465364719,,,,,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24
19.963,,3.1848745082207843,0.9919709532226763,,,,,,,,,,41,60,Nb,,0,,(5/2+),7.1,,3,s,7.1,0.3,B-,100,,4628,4,42,59,Mo,1-Jul-2006,JEAN BLACHOT,2025-02-24

