energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
16.09,0.05,4.342,0.6043550281084786,0.0000000021,16.03,,0.0,E1,,,7.05,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
19.5,0.1,0.1586,0.022447494292236716,,44.45,0.000000001,25.02,[E1],,,4.14,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
25.1,0.1,0.0988,0.013813037319865606,0.000000001,25.02,,0.0,E2+M1,,,,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
28.5,0.1,0.832,0.12369316876852982,,44.45,0.0000000021,16.03,M1+(E2),0.09,LT,11,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
44.44,0.05,5.538,0.8751714117817149,,44.45,,0.0,[E1],,,0.411,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
94.1,0.2,0.05434,0.009031218079528364,,294.55,,200.48,[E1 M1 E2],,,1.6,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
156,0.2,0.0871,0.011968813642128446,,200.48,,44.45,[E1 M1 E2],,,0.26,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
176.6,0.2,0.0377,0.004821711314460873,,220.96,,44.45,[E1 M1 E2],,,0.18,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
184.5,0.2,0.1066,0.016107451691686057,,200.48,0.0000000021,16.03,[E1 M1 E2],,,0.16,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
200.5,0.2,0.02678,0.0049757511995677595,,200.48,,0.0,[E1 M1 E2],,,0.13,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
240.5,0.2,0.0832,0.014153444810363307,,570.78,,330.47,[E1 M1 E2],,,0.08,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
250.15,0.05,16.38,2.0446271053666485,,294.55,,44.45,E1,,,0.0226,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
250.3,0.3,0.0858,0.016340440630533803,,450.80,,200.48,[E1 M1 E2],,,0.07,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
261.4,0.3,0.02652,0.006717439988567073,,592.40,,330.47,[E1 M1 E2],,,0.06,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
269.4,0.2,0.247,0.042257425383002215,,294.55,0.000000001,25.02,[E1 M1 E2],,,0.06,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
273.2,0.3,0.052,0.019163506985935535,,592.40,,319.17,[E1 M1 E2],,,0.06,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
276.1,0.2,0.0624,0.014860686390607938,,570.78,,294.55,[M1 E2],,,0.082,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
278.56,0.05,26,3.381360672865289,,294.55,0.0000000021,16.03,E1,,,0.0171,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
294.47,0.05,2.938,0.37317154232336636,,294.55,,0.0,M1(+E2),1.5,LT,0.071,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
302.9,0.2,0.0936,0.016900887550658397,,319.17,0.0000000021,16.03,[E1 M1 E2],,,0.04,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
314.4,0.2,0.0806,0.015984054554461453,,330.47,0.0000000021,16.03,[E1 M1 E2],,,0.04,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
340.5,0.2,0.0936,0.0234367233204644,,659.90,,319.17,[E1 M1 E2],,,0.032,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
350,0.3,0.0104,0.005336665625650533,,570.78,,220.96,[E1 M1 E2],,,0.030,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
365.4,0.2,0.0416,0.009158602513484248,,659.90,,294.55,[M1 E2],,,0.037,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
392,0.3,0.0208,0.005727128425310541,,592.40,,200.48,[E1 M1 E2],,,0.022,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
406.4,0.4,0.0208,0.008160882305241266,,450.80,,44.45,[E1 M1 E2],,,0.020,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
526.3,0.3,0.0728,0.015477725931156682,,570.78,,44.45,[E1],,,,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
545.7,0.2,0.832,0.12369316876852982,,570.78,0.000000001,25.02,[M1 E2],,,0.013,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
547.7,0.2,0.1092,0.014818906842274163,,592.40,,44.45,[E1],,,0.00336,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
567.5,0.3,0.091,0.018804520733057783,,592.40,0.000000001,25.02,[M1 E2],,,0.012,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
570.7,0.2,0.3536,0.05826834475081646,,570.78,,0.0,[M1 E2],,,0.011,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
576.7,0.2,0.3406,0.05722805256165895,,592.40,0.0000000021,16.03,[E1],,,0.00300,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
592.5,0.2,0.988,0.13813037319865606,,592.40,,0.0,[M1 E2],,,0.010,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
635,0.2,0.1898,0.03204949297570868,,659.90,0.000000001,25.02,[M1 E2],,,0.0088,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
660,0.3,0.1248,0.021230167215544958,,659.90,,0.0,[M1 E2],,,0.0080,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
6.109,,5.264656795801624,0.5755326578516562,,,,,,,,,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
38.171,,0.22184737064152318,0.01743028675690029,,,,,,,,,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
38.724,,0.4027730040695773,0.0315925520017324,,,,,,,,,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
43.934,,0.12487438358385008,0.009890119061616376,,,,,,,,,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
44.387,,0.15696710016489954,0.012416190704079438,,,,,,,,,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24
44.938,,0.03209271658104947,0.002617324441806613,,,,,,,,,,60,92,Nd,,0,,0+,11.4,,2,m,684,12,B-,100,,1105,19,61,91,Pm,31-Aug-2013,M. J. MARTIN,2025-02-24

