energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
495,,1.61,0.17,,495.33,,0,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,EC+B+,100,,14548.8,4,9,8,F,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
1137,,,,,3502,,2364.9,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECA,2.77,0.19,,,7,6,N,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
1755,,,,,8871.9,,7116.85,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
1955,,,,,8871.9,,6917.1,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
2365,,,,,2364.9,,0.0,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECA,2.77,0.19,,,7,6,N,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
2668,,,,,9585,,6917.1,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
2742,,,,,8871.9,,6129.89,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
2823,,,,,8871.9,,6049.4,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
3502,,,,,3502,,0.0,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECA,2.77,0.19,,,7,6,N,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
6130,,,,,6129.89,,0.0,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
6917,,,,,6917.1,,0.0,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
7117,,,,,7116.85,,0.0,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
8872,,,,,8871.9,,0.0,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
9585,,,,,9585,,,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,ECP,95.2,4.6,13948.5,4,8,8,O,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
10695,,0.021,0.01,,11192.9,,495.33,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,EC+B+,100,,14548.8,4,9,8,F,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24
511,,199.4522,6.357172956590061,,,,,,,,,,10,7,Ne,,0,,1/2-,109.2,,6,ms,0.1092,0.0006,EC+B+,100,,14548.8,4,9,8,F,25-SEPT-2018,J. Kelley and J. Shuman,2025-02-24

