energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
161.4,0.1,1.74,0.36000420497544194,,2289.97,,2128.65,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
206.1,0.1,1.5,0.3600031249864368,,2805.90,,2599.84,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
348.1,0.1,1.92,0.36000511996359164,,3034.59,,2686.51,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
446.9,0.1,5.82,0.42004032235012867,0.000000000014,981.32,,534.44,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
454,,40,15,,454,19.4,0,,,,,,28,43,Ni,,498.5,0.6,(1/2-),2.3,,3,s,2.3,0.3,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
472,0.1,13.5,0.5401687236410491,,1453.31,0.000000000014,981.32,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
520.2,0.1,1.62,0.36000364498154735,,1973.51,,1453.31,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
534.4,0.1,60,0.06,,534.44,19.4,0.0,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
655.1,0.1,1.92,0.36000511996359164,0.00000000000115,1189.46,,534.44,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
705.7,0.2,1.08,0.360001619996355,,1895.16,0.00000000000115,1189.46,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
744.7,0.1,1.32,0.36000241999186616,,3034.59,,2289.97,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
939.5,0.2,2.76,0.42000906847352715,,2128.65,0.00000000000115,1189.46,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
981.3,0.1,19.26,0.6003090434101422,0.000000000014,981.32,19.4,0.0,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
1019,0.3,4.92,0.42002881615432053,,2805.90,,1786.30,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
1138.9,0.2,1.5,0.48000234374427797,,2925.21,,1786.30,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
1189.5,0.1,20.04,0.6003345747164659,0.00000000000115,1189.46,19.4,0.0,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
1248.2,0.1,7.02,0.7800315893603285,,3034.59,,1786.30,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
1251.7,0.1,21.66,0.600390835706209,,1786.30,,534.44,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
1297.8,0.2,0.84,0.30000117599769505,,2751.12,,1453.31,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
1311.3,0.1,2.94,0.6000072029567646,,1845.75,,534.44,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
1352.6,0.1,5.88,0.5400320123844512,,2805.90,,1453.31,,,,,,28,43,Ni,,0,,(9/2+),2.56,,3,s,2.56,0.03,B-,100,,7304.9,27,29,42,Cu,17-Jan-2023,Balraj Singh and Jun Chen,2025-02-24
