energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
28.562,0.011,0.00091,0.000070000059149975,,340.476,,311.911,M1+E2,0.16,2,3.2E2,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
40.351,0.01,,,,40.351,5023862615155.047,0.0,M1+E2,0.93,11,5.1E2,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
41.66,0.01,0.000161,0.00002100000617166576,,340.476,,298.815,[E1],,,1.255,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
51.5,0.5,,,,92.11,,40.351,,,,,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
92.1,0.5,,,,92.11,5023862615155.047,0.0,,,,,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
205.3,0.4,0.0231,0.0021000012704996155,,,,,,,,,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
226,0.5,0.0357,0.002800002275874075,,546.53,,320.69,[E1],,,0.0742,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
228.57,0.05,0.0413,0.007000001218349894,,320.69,,92.11,[E1],,,0.0723,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
234.3,0.3,0.154,0.007000016939979503,,546.53,,311.911,[M1],,,1.99,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
242.5,0.4,0.084,0.0070000050399981854,,,,,,,,,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
247.6,0.4,0.0399,0.004900001624499731,,546.53,,298.815,[E1],,,0.0603,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
248.37,0.04,0.000749,0.00004200006678578023,,340.476,,92.11,[E2],,,0.346,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
256,0.5,0.042,0.002800003149998228,,597.23,,340.476,[M1],,,1.555,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
258.5,0.5,0.098,0.007000006859996639,,298.815,,40.351,[E1],,,0.0547,,93,140,Np,,0,,(5/2+),36.2,,1,m,2172,6,EC,100,,1029,51,92,141,U,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2025-02-24
