energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
638,3,,,,709.1,,71.65,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-N,7,2,3757,122,9,13,F,1-Apr-2015,M. Shamsuzzoha Basunia,2025-02-24
911,4,2.7,1.2,,3837,,2926,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
1237,4,3.1,0.9,,4604,,3367,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
1621,6,5.7,1,,3865,,2244,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
1716,6,2.1,0.6,,5553,,3837,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
2243,8,51.5,1.2,,2244,,0.0,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
2673,9,5.2,1,,5599,,2926,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
2926,10,7.2,1.8,,2926,,0.0,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
3367,13,4.5,1,,3367,,0.0,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
3868,15,10.1,1.6,,3865,,,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24
4066,16,17.1,1.7,,4066,,0.0,,,,,,8,15,O,,0,,1/2+,97,,8,ms,0.097,0.008,B-,100,,11340,130,9,14,F,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2025-02-24

