energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
126.2,0.2,5.3,0.3,,126.20,52,0.0,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
200.8,0.3,0.56,0.05,,407.88,,207.04,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
207.1,0.2,2.4,0.1,,207.04,52,0.0,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
257.8,0.2,2.3,0.1,,,,,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
308,0.4,0.43,0.08,,,,,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
315.4,0.2,2.5,0.1,,522.37,,207.04,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
407.9,0.2,5.9,0.2,,407.88,52,0.0,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
522.2,0.3,0.78,0.1,,522.37,52,0.0,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
586.2,0.2,0.59,0.13,,,,,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24
629.1,0.4,1.6,0.1,,,,,,,,,,76,120,Os,,0,,0+,34.9,,2,m,2094,12,B-,100,,1160,60,77,119,Ir,1-Jan-2006,Huang Xiaolong,2025-02-24

