energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
611.24,,0.0004,,,6887.65,,6276.40,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
911.53,,0.004,,,7799.21,,6887.65,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1352.15,0.15,0.14,0.002,,10667.99,,9315.78,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1516.5,0.4,0.204,0.014,,9315.78,,7799.21,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1522.78,0.1,0.86,0.03,,7799.21,,6276.40,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1657.1,,0.4,0.17,,7933.52,,6276.40,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1658.81,,0.8,0.17,,6276.40,,4617.53,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1778.969,0.011,97.5,0.5,,1779.030,,0.0,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2063.04,,0.0003,,,9479.1,,7415.9,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2098.34,,0.0004,,,9479.1,,7380.59,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2261.07,,0.0003,,,6878.79,,4617.53,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2269.92,,0.0005,,,6887.65,,4617.53,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2312.3,0.1,0.196,0.006,,8588.80,,6276.40,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2400.37,,0.0001,,,7380.59,,4980.0,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2734.19,,0.003,,,10667.99,,7933.52,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2838.29,0.15,2.35,0.05,,4617.53,,1779.030,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
2953.35,0.25,0.081,0.003,,7933.52,,4980.0,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3039.16,0.17,2.7,0.07,,9315.78,,6276.40,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3104.4,0.4,0.024,0.004,,9381.2,,6276.40,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3181.3,0.4,0.032,0.003,,7799.21,,4617.53,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3200.7,0.5,0.186,0.009,,4980.0,,1779.030,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3252.6,0.7,0.032,0.003,,10667.99,,7415.9,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3278.8,0.5,0.098,0.004,,8259.0,,4980.0,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3286.99,,0.006,,,10667.99,,7380.59,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3315.6,0.4,0.101,0.006,,7933.52,,4617.53,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3641,,0.002,,,8259.0,,4617.53,,,,,,15,13,P,,0,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,14344.9,11,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
