energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
13.8,,,,,13.79,,0.0,[M1 E2],,,2.1E4,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
28,0.1,0.51,0.05,,68.71,,40.69,M1,,,143,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
28,0.1,0.3,0.04,,28,,0.0,[E1],,,3.34,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
39.5,,,,,153.00,,113.30,[M1 E2],,,5.E2,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
40.7,0.1,1.34,0.08,,40.69,,0.0,M1+E2,0.18,,70.3,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
57.8,0.2,0.26,0.09,,71.56,,13.79,[M1],,,17.0,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
67.8,0.2,0.38,0.1,,108.51,,40.69,M1,,,10.63,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
74,0.2,0.27,0.09,,145.6,,71.56,[M1],,,8.74,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
81.5,0.3,0.3,0,,153.00,,71.56,M1,,,6.22,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
109.5,0.1,0.3,0.03,,150.18,,40.69,M1,,,13.07,,91,133,Pa,,0,,(5-),0.846,,20,s,0.846,0.02,A,100,,7694,4,89,131,Ac,31-Oct-2010,E. BROWNE and  J. K. TULI,2025-02-24
