energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
144.5,0.3,1.5,0.3,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
167.5,0.1,14.2,1.8,,167.49,576,0.0,M1 E2,,,1.4,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
179.2,0.3,1.5,0.6,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
213.1,0.3,3.8,0.5,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
214.9,0.3,5,4,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
250.7,0.2,4.7,0.6,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
269.5,0.3,3.6,0.5,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
343.1,0.3,,,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
371,0.2,8.3,1.3,,371.05,576,0.0,M1(+E2),0.6,6,0.18,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
404.5,0.3,3.2,0.5,,775.67,,371.05,[M1 E2],,,0.11,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
414.1,0.3,6.4,1.2,,413.98,576,0.0,M1(+E2),2.2,LE,0.11,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
608.2,0.1,18.6,2.4,,775.67,,167.49,M1+E2,1.7,6,0.029,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
781.6,0.3,8.8,1.3,,1195.46,,413.98,[E1],,,0.00379,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
1195.4,0.2,49,6,,1195.46,576,0.0,(E1),,,0.001763,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
511,,7.82,,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
12.148,,36,4,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
70.832,,27,4,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
72.874,,45,7,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
82.629,,15.3,2.2,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
83.631,,20,3,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24
84.866,,4.5,0.7,,,,,,,,,,82,110,Pb,,0,,0+,3.5,,1,m,210,6,EC+B+,99.9941,0.0007,3320,32,81,111,Tl,15-Jun-2012,Coral M. Baglin,2025-02-24

