energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
89.3,0.7,0.14,0.09,,1351.11,,1261.80,[M1],,,0.522,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,IT,11,3,,,46,49,Pd,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-02-24
146.3,,0.67,0.12,0.000071,2645,0.000000065,2498,E2,,,0.335,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,B+P,0.93,0.15,,,44,50,Ru,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-02-24
168.8,0.1,10.9,0.9,,2236.42,,2067.62,(E1),,,0.0325,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,EC+B+,89,3,8375,5,45,50,Rh,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-02-24
185,0.1,5.5,0.3,,2449.37,,2264.32,(E2),,,0.1496,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,EC+B+,89,3,8375,5,45,50,Rh,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-02-24
311.6,,0.88,0.16,0.000000065,2498,,2187,E2,,,0.0237,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,B+P,0.93,0.15,,,44,50,Ru,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-02-24
347.6,0.1,0.97,0.05,,,,,,,,,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,EC+B+,89,3,8375,5,45,50,Rh,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-02-24
381.8,0.1,42.5,1.9,,2449.37,,2067.62,(E2),,,0.01286,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,EC+B+,89,3,8375,5,45,50,Rh,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-02-24
524,0.1,11,3,13.3,1875.11,,1351.11,(E4),,,0.0395,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,IT,11,3,,,46,49,Pd,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-02-24
524,0.1,9.3,0.4,,2973.38,,2449.37,,,,,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,EC+B+,89,3,8375,5,45,50,Rh,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-02-24
640.6,0.3,0.41,0.1,,,,,,,,,,46,49,Pd,,1875.13,0.14,(21/2+),13.3,,3,s,13.3,0.3,EC+B+,89,3,8375,5,45,50,Rh,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2025-02-24
