energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
45.5,,,,,1584.60,,1539.18,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
62.62,0.06,0.04,0.002,,2131.81,,2069.06,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
64.548,0.025,4.56,0.24,,1986.72,,1922.18,E1,,,0.893,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
82.016,0.025,14.63,0.77,,82.004,,0,E2,,,4.86,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
82.016,0.025,12.6,0.63,,81.997,,0,E2,,,4.86,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
95.2,0.3,0.04,0.002,,2069.06,,1973.73,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
104.3,0.04,0.02,0.001,,,,,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
104.3,0.04,0.133,0.007,,,,,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
107.896,0.025,6.46,0.33999999999999997,,1986.72,,1878.84,E1,,,0.224,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
124.43,0.04,0.19,0.0095,,2139.80,,2015.37,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
138,0.3,0.04,0.002,,,,,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
138,0.3,0.209,0.011,,,,,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
143.74,0.15,0.456,0.024,,2065.90,,1922.18,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
166.06,0.03,0.62,0.031,,2139.80,,1973.73,E1,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
171.6,0.3,6.745,0.355,,1986.72,,1815.07,E1,,,0.0637,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
171.8,0.3,0.304,0.016,,1878.84,,1706.78,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
184.81,0.025,3.1,0.155,,266.81,,81.997,[E2],,,0.272,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
184.81,0.025,30.4,1.6,,266.84,,82.004,[E2],,,0.272,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
194.29,0.06,0.16,0.008,,2139.80,,1945.53,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
214,0.3,0.304,0.016,,1878.84,,1664.90,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
230.82,0.03,5.985,0.315,,1986.72,,1755.87,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
232.08,0.03,4.18,0.22,,1986.72,,1754.64,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
244.52,0.15,0.18,0.009000000000000001,,,,,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
247.75,0.15,0.6745,0.035500000000000004,,2065.90,,1817.96,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
249.52,0.15,0.9595,0.0505,,,,,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
256.1,0.4,0.07,0.0035,,1177.78,,921.38,[E1],,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
256.1,0.4,0.0057,0.0003,,1177.79,,921.40,[E1],,,0.0221,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
273.96,0.2,0.2565,0.0135,,1286.32,,1012.35,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
273.96,0.2,0.1,0.005,,1286.32,,1012.33,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
276,0.25,0.855,0.045,,1815.07,,1539.18,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
277.04,0.06,2.1945,0.1155,,543.93,,266.84,[E2],,,0.0721,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
279.93,0.04,11.305,0.595,,1986.72,,1706.78,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
280.1,0.3,0.2565,0.0135,,1755.87,,1472.88,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
280.1,0.3,0.004,0.0002,,1755.79,,1475.60,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
280.96,0.04,1.23,0.0615,,1202.36,,921.38,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
291.25,0.2,0.5985,0.0315,,,,,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
293.1,0.3,0.06,0.003,,,,,,,,,,61,93,Pm,X,,,(0- 1-),1.73,,10,m,103.8,6,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
293.1,0.3,0.323,0.016999999999999998,,,,,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
303.1,0.2,0.5795,0.0305,,,,,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
307.3,0.3,0.3135,0.0165,,2293.95,,1986.72,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
315.77,0.2,0.646,0.033999999999999996,,1755.87,,1440.06,,,,,,61,93,Pm,,0,,(3 4),2.68,,7,m,160.8,4.2,B-,100,,4189,25,62,92,Sm,1-May-2008,C. W. Reich,2025-02-24
