energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
260.5,0.1,0.254,0.003,,262.80,0.0000242,2.30,M1(+E2),0.14,LE,0.624,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,A,99.546,0.007,4979.2,14,82,123,Pb,20-Apr-2020,F.G. KONDEV,2025-02-24
262.8,0.1,0.085,0.002,,262.80,536467741568064,0.0,M1(+E2),0.14,LE,0.609,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,A,99.546,0.007,4979.2,14,82,123,Pb,20-Apr-2020,F.G. KONDEV,2025-02-24
896.28,0.07,0.445,0.007,,896.28,,0.0,M1+E2,-0.62,6,0.0208,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,EC+B+,0.454,0.007,1892.6,22,83,126,Bi,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-02-24
12.522,,0.063923444139,0.002691804510541977,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,A,99.546,0.007,4979.2,14,82,123,Pb,20-Apr-2020,F.G. KONDEV,2025-02-24
12.904,,0.1427627193604,0.006110582701787115,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,EC+B+,0.454,0.007,1892.6,22,83,126,Bi,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-02-24
72.805,,0.04817865154006977,0.0008564744845327222,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,A,99.546,0.007,4979.2,14,82,123,Pb,20-Apr-2020,F.G. KONDEV,2025-02-24
74.815,,0.09268022682629719,0.001536394198751265,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,EC+B+,0.454,0.007,1892.6,22,83,126,Bi,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-02-24
74.97,,0.08097252359675591,0.0013986688596308234,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,A,99.546,0.007,4979.2,14,82,123,Pb,20-Apr-2020,F.G. KONDEV,2025-02-24
77.108,,0.15506144692370283,0.0024873428773627628,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,EC+B+,0.454,0.007,1892.6,22,83,126,Bi,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-02-24
84.986,,0.027675251815034073,0.0006287872515810662,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,A,99.546,0.007,4979.2,14,82,123,Pb,20-Apr-2020,F.G. KONDEV,2025-02-24
86.022,,0.036033177863174365,0.0008069018485771791,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,A,99.546,0.007,4979.2,14,82,123,Pb,20-Apr-2020,F.G. KONDEV,2025-02-24
87.301,,0.00835792604814029,0.00023496302976457617,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,A,99.546,0.007,4979.2,14,82,123,Pb,20-Apr-2020,F.G. KONDEV,2025-02-24
87.388,,0.05311460080398162,0.0011559043189753595,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,EC+B+,0.454,0.007,1892.6,22,83,126,Bi,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-02-24
88.458,,0.06936766865,0.00148606745250085,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,EC+B+,0.454,0.007,1892.6,22,83,126,Bi,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-02-24
89.784,,0.016253067846018376,0.00044230924179102107,,,,,,,,,,84,125,Po,,0,,1/2-,124,,3,Y,3913058820.849408,94670777.923776,EC+B+,0.454,0.007,1892.6,22,83,126,Bi,30-Sep-2013,J. CHEN {+#} AND F.G. KONDEV,2025-02-24

