energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
207.3,0.5,85.9,0.4295,,207.0,235.8,0.0,E2,,,0.163,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
253,,,,,,,,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
253,1,,,,1305.9,,1052.3,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
399.7,0.3,26,1.0084145972763385,,606.6,,207.0,E2,,,0.0203,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
550.6,0.3,3.4,0.30048128061494944,,1157.2,,606.6,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
592,,,,,,,,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
662.4,0.4,4.8,0.20143485299222674,,869.4,,207.0,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
699.4,0.4,1.1,0.5000302490849928,,1305.9,,606.6,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
705.2,0.4,1.5,0.4000703063212765,,1311.8,,606.6,M1+E2,,,0.00665,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
731.8,0.4,1.8,0.4001012371887895,,1889.0,,1157.2,D,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
799,,,,,,,,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
845.3,0.3,11.2,0.20769207977195472,,1052.3,,207.0,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
873,,,,,,,,,,,,,59,69,Pr,,0,,4 5 6,2.84,,9,s,2.84,0.09,EC+B+,100,,9203,41,58,70,Ce,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2025-02-24
