energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
11.6,,,,,237.16,0.0000005,225.63,[M1+E2],,,,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
11.6,,,,,11.6,,0.0,,,,,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
18.4,,,,,18.4,,0.0,,,,,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
49,1,0.32,0.12,0.00101,1836.0,,1786.9,[E2],,,128,,78,106,Pt,,1840.3,0.8,8-,1.01,,5,ms,0.00101,0.00005,IT,100,,,,78,106,Pt,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
49.4,0.1,0.8512,0.11528347669982893,,342.70,0.0000000011,293.27,M1+E2,0.116,12,9.8,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
52.4,0.1,0.4522,0.0442,,484.88,0.00000001,432.48,M1,,,7.10,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
58.4,0.1,0.6384,0.082,,295.55,,237.16,M1+E2,0.14,3,6.0,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
66.8,0.2,0.10108,0.02107887093750517,,499.27,0.00000001,432.48,[E2],,,26.2,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
67.6,0.1,5.054,0.7259889806326264,0.0000000011,293.27,0.0000005,225.63,M1+E2,0.29,3,5.0,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
70.7,0.1,22.61,3.2581184754394674,0.00000000018,70.73,,0.0,M1,,,2.95,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
81.2,0.1,0.3192,0.04463548364250129,,509.45,,428.24,[M1 E2],,,11.10,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
85.5,0.1,0.6916,0.10458393758125575,,428.24,,342.70,M1+E2,0.28,5,9.54,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
89,0.1,0.0798,0.02772002886001384,,903.84,,814.81,[M1 E2],,,8.0,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
89.8,0.1,0.1064,0.028560812313377922,0.00000001,432.48,,342.70,[M1+E2],,,7.8,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
92.7,0.1,5.32,0.7439247273750215,,355.47,0.0000000003,262.70,M1,,,7.61,,78,106,Pt,,0,,0+,17.3,,2,m,1038,12,EC+B+,100,,2278,32,77,107,Ir,1-Oct-2009,CORAL M. BAGLIN,2025-02-24
