energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
44.915,0.013,0.0384,0.0008,0.000000000225,44.915,1.4099634525447706e17,0.0,E2,,,610,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
103.5,0.04,0.0253,0.0012,,148.42,0.000000000225,44.915,[E2],,,11.36,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
159.018,0.016,0.00022,0.000008,,307.44,,148.42,[E2],,,1.81,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
16.678,,8.64876223406,0.3972241900087044,,,,,,,,,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
94.657,,0.000013211871292014275,0.0000005249254394649408,,,,,,,,,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
98.439,,0.000021149145657138268,0.0000008360106518154421,,,,,,,,,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
111.238,,0.000007630091692136703,0.00000032867873039378795,,,,,,,,,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
112.645,,0.000010239583050847457,0.0000004394339054072432,,,,,,,,,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
114.446,,0.0000026094913587107525,0.00000011870570426661023,,,,,,,,,,94,148,Pu,,0,,0+,3.73E+5,,2,Y,11770733388522.816,63113851949.184,A,100,,4984.2,10,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24

