energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
144.4,0.5,0.00011,0.00002,,796.911,,653.12,[E1],,,0.190,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
324.31,0.02,2.77,0.08,0.00000000008,324.320,0.03375,0.0,E2,,,0.1097,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
328.9,0.2,0.004,0.0001,,653.12,0.00000000008,324.320,[E2],,,0.1053,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
472.59,0.01,0.0039,0.0001,,796.911,0.00000000008,324.320,[E1],,,0.0124,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
515.83,0.03,0.00142,0.00008,,840.172,0.00000000008,324.320,(E1),,,0.0103,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
796.8,0.2,0.00017,0.00005,,796.911,0.03375,0.0,[E3],,,0.0333,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
840.18,0.02,0.0028,0.0001,,840.172,0.03375,0.0,[E3],,,0.0292,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
14.088,,0.1009619420527008,0.004635027974849836,,,,,,,,,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
81.07,,0.04588724857150979,0.0015023029767870638,,,,,,,,,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
83.789,,0.07569654993650576,0.0024584892481787518,,,,,,,,,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
94.878,,0.026251047405139723,0.0009332031109931015,,,,,,,,,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
96.054,,0.03465138257478444,0.001224815311279028,,,,,,,,,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24
97.53,,0.008400335169644712,0.00032619752481383716,,,,,,,,,,88,134,Ra,,0,,0+,33.6,,4,s,33.6,0.4,A,100,,6678,4,86,132,Rn,30-Oct-2019,Balraj Singh and  M.S. Basunia and  Murray Martin et al. and ,2025-02-24

