energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
616.7,0.5,25,3,,616.8,,0.0,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
639.6,0.5,1.5,0.23430749027719963,,1256.5,,616.8,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
704.3,0.5,1.875,0.3010398644698074,,1321.1,,616.8,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
1257.1,1.5,0.575,0.10191172650877817,,1256.5,,0.0,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
1320.5,,,,,1321.1,,0.0,E0,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
1343.09,0.06,,,,,,,M1 E2,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
511,,196,,,,,,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
1.648,,0.038072691275,0.0018427458011179756,,,,,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
12.596,,0.26571081632263077,0.0116843252804385,,,,,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
12.649,,0.5123617746290605,0.02239472217909461,,,,,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
14.169,,0.12277544426626887,0.0054633534144411175,,,,,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
14.209,,0.13515120904830877,0.00600276991427979,,,,,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24
14.313,,0.012375764782039902,0.0006625265372016317,,,,,,,,,,37,43,Rb,,0,,1+,33.4,,7,s,33.4,0.7,EC+B+,100,,5718.0,20,36,44,Kr,22-Jun-2005,BALRAJ SINGH,2025-02-24

