energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
111.8,,,,,111.8,,0.0,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,A,0.005,,5063,13,73,91,Ta,30-Nov-2017,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
199.3,0.2,92.4,3.5212125411568103,,199.3,50.9,0.0,E2,,,0.312,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
297.7,0.2,1.672,0.17600794182081672,,1834.2,,1536.4,E2,,,0.0870,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
311.9,0.4,0.616,0.17600107799669865,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
314.4,0.4,0.528,0.176000791998218,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
363.2,0.2,88,0.088,,562.4,,199.3,E2,,,0.0489,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
419.8,0.2,1.32,0.1760049499303926,,1278.9,,858.9,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
479.8,0.2,57.992,0.8819087662927498,,1042.1,,562.4,E2,,,0.0233,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
481.9,0.2,2.728,0.17602114073031114,,1760.8,,1278.9,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
494.1,0.2,4.488,0.3520286098373256,,1536.4,,1042.1,(E1),,,0.00729,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
558.2,0.2,9.768,0.6160774414178789,,1600.3,,1042.1,E2,,,0.01604,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
581,0.2,0.88,0.2640014666625926,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
659.5,0.2,3.168,0.7920063359746562,,858.9,,199.3,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
716.6,0.2,5.808,0.4400383311303687,,1278.9,,562.4,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
718.8,0.2,4.136,0.44001943877060706,,1760.8,,1042.1,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
792.2,0.2,3.344,0.44001270701651335,,1834.2,,1042.1,(E1),,,0.00277,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
839.7,0.2,2.2,0.6160039285589013,,1698.6,,858.9,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
868.7,0.4,0.528,0.176000791998218,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
870.9,0.4,1.056,0.2640021119915521,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
918.2,0.2,4.576,0.4400237945566126,,1117.5,,199.3,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
974,0.2,2.464,0.2640114984162622,,1536.4,,562.4,(E1),,,0.00187,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
1014.8,0.4,4.312,0.35202641000924917,,1577.2,,562.4,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
1024.5,0.4,6.248,0.4400443585639975,,1586.9,,562.4,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
1177.4,0.4,1.848,0.26400646792076893,,2219.5,,1042.1,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
1217.7,0.4,1.232,0.1760043119471793,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
1388,0.4,4.664,0.4400247185056767,,2430.1,,1042.1,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
1437.8,0.4,2.2,0.26400916650752865,,2479.9,,1042.1,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
511,,171.4,,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
9.74,,11.223597757622,,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
57.983,,8.833291476117678,,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
59.32,,15.343566920475382,,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
67.335,,5.08586974119854,,,,,,,,,,,75,93,Re,,0,,(7+),4.4,,1,s,4.4,0.1,EC+B+,100,,9098,34,74,94,W,15-Jun-2010,CORAL M. BAGLIN,2025-02-24
