energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
103.2,0.2,1.44,0.4036285421027606,,2623.28,,2520.19,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
159.4,0.3,0.32,0.16044936896105264,,1011.66,,852.39,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
166.4,0.3,0.4,0.16070158679988197,,2789.35,,2623.28,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
273.4,0.3,0.88,0.242258126798669,,2623.28,,2349.68,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
276.2,0.4,0.754,0.335650115447619,,1391.66,,1115.50,,,,,,45,69,Rh,,0,,1+,1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
310.7,0.2,0.96,0.2426849809938802,,1630.69,,1319.91,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
317,0.2,23.04,1.96063663130117,,1011.66,,694.62,[M1 E2],,,0.021,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
332.6,0.1,58,20.80234602154286,,332.61,,0,E2,,,,,45,69,Rh,,0,,1+,1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
332.6,0.1,80,3,,332.61,,0,E2,,,0.0211,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
336,0.3,2.08,0.4075340476573706,,2520.19,,2184.03,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
362,0.2,26.68,13.568817192371633,,694.64,,332.61,,,,,,45,69,Rh,,0,,1+,1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
362,0.2,22.32,2.242090319322574,,694.62,,332.61,[M1 E2],,,0.0142,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
372.1,0.3,0.72,0.2415139747509448,,2892.3,,2520.19,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
400.2,0.3,0.48,0.24067405344157897,,3138.78,,2738.6,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
407.3,0.3,0.56,0.24091699815496623,,2927.5,,2520.19,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
414.2,0.3,0.32,0.16044936896105264,,2598.42,,2184.03,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
426.5,0.5,0.24,0.16025292509030842,,2065.17,,1638.73,,,,,,45,69,Rh,X,0,0.3,(7-),1.85,,5,s,1.85,0.05,B-,100,,7780,70,46,68,Pd,1-Jan-2012,Jean Blachot,2025-02-24
