energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
72.7,0.07,0.65,0.17,,72.65,29160,0.0,M1,,,5.87,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
147.3,0.1,0.018,0.005,,,,,,,,,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
190.35,0.07,0.16,0.04,,721.28,,530.88,M1,,,1.95,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
196.3,0.1,0.37,0.09,,1488.59,,1292.23,M1,,,1.78,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
225.1,0.1,0.057,0.015,,721.28,,496.17,M1,,,1.217,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
233.3,0.1,0.58,0.15,,1525.52,,1292.23,M1,,,1.102,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
238.1,0.1,0.17,0.04,,768.95,,530.88,M1,,,1.041,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
239.5,1,0.019,0.005,,1292.23,,1052.76,,,,,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
248,,0.009,0.003,,,,,,,,,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
255.5,0.1,0.11,0.03,,1292.23,,1036.7,M1,,,0.856,,86,124,Rn,,0,,0+,2.4,,1,h,8640,360,EC+B+,4,1,2367,9,85,125,At,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
