energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
82.3,0.2,5.76,0.3600004607997051,,82.27,2.1,0.0,M1+E2,0.45,22,1.0,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
128,0.5,0.18,0.05400000299999992,,670.2,,542.0,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
244.8,0.2,5.76,0.3600004607997051,,327.03,,82.27,M1(+E2),0.3,3,0.033,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
327,0.2,18,1.2600012857136298,,327.03,2.1,0.0,M1+E2,1.9,AP,0.0197,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
429,,,,,,,,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
459.5,0.5,0.36,0.10800000599999984,,542.0,,82.27,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
588.1,0.5,1.692,0.19800007229453226,,670.2,,82.27,[M1],,,0.00347,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
2.892,,0.284992444118304,,,,,,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
20.073,,1.136775430041346,,,,,,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
20.215,,2.152168553656467,,,,,,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
22.806,,0.5844504231751174,,,,,,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
22.957,,0.6814691934221868,,,,,,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
23.17,,0.0970187702470695,,,,,,,,,,,44,68,Ru,,0,,0+,1.75,,7,s,1.75,0.07,B-,100,,4100,50,45,67,Rh,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24

