energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1266.1,0.1,1.1,0.04,0.00000000000051,1266.08,,0.0,M1+E2,0.26,3,3.32E-5,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
1868.1,,0.00188,,0.0000000000000071,3134.3,0.00000000000051,1266.08,,,,,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
2233.6,0.1,0.00071,,0.000000000000256,2233.63,,0.0,E2,,,0.000436,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
2239.9,,0.0049,0.0008,0.0000000000000088,3506.1,0.00000000000051,1266.08,(M1(+E2)),-0.06,19,0.000352,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
2358.6,,0.00082,,0.000000000000013,4592.5,0.000000000000256,2233.63,,,,,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
3134.1,,0.0318,0.0012,0.0000000000000071,3134.3,,0.0,(M1),,,0.000717,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
3326.2,,0.00062,,0.000000000000013,4592.5,0.00000000000051,1266.08,M1+E2,-0.8,4,0.00084,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
3505.9,,0.0073,0.0005,0.0000000000000088,3506.1,,0.0,M1+E2,0.41,3,0.000878,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
4260.1,,0.0002,,0.0000000000000104,4260.4,,0.0,M1+E2,0.35,4,1.13E-3,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
4592.1,,0.000056,,0.000000000000013,4592.5,,0.0,(M1+E2),,,0.00129,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
511,,199.8656032,,,,,,,,,,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
0.149,,0.000092,0.000019,,,,,,,,,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
2.013,,0.00135,0.00004,,,,,,,,,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
2.014,,0.00267,0.00008,,,,,,,,,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
2.138,,0.000173,0.000017,,,,,,,,,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24
2.138,,0.000173,0.000017,,,,,,,,,,16,15,S,,0,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,5398.01,23,15,16,P,24-Jun-2022,Jun Chen and Balraj Singh,2025-02-24

